Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes
chipseq,exponential,0.15,40,0,MINMIN,497.51,0, 5, 15, 11, 9, 3, 1, 1, 0, 3, 2, 3, 2, 0, 3, 13, 0, 6, 0, 1, 3, 4, 4, 3, 0, 0, 6,{c5.2xlarge=0; c5.xlarge=5; c5a.2xlarge=15; c5a.xlarge=11; d3.2xlarge=9; d3.xlarge=3; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=3; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=13; m5zn.large=0; m5zn.xlarge=6; r5.2xlarge=0; r5.large=1; r5.xlarge=3; r5a.2xlarge=4; r5a.large=4; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=6}
chipseq,exponential,0.15,40,0,MAXMIN,538.98,0, 9, 9, 7, 8, 5, 0, 2, 0, 2, 5, 10, 1, 0, 3, 10, 0, 6, 0, 4, 5, 4, 6, 2, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=9; c5a.2xlarge=9; c5a.xlarge=7; d3.2xlarge=8; d3.xlarge=5; i3.2xlarge=0; i3.large=2; i3.xlarge=0; m5.2xlarge=2; m5.large=5; m5.xlarge=10; m5a.2xlarge=1; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=10; m5zn.large=0; m5zn.xlarge=6; r5.2xlarge=0; r5.large=4; r5.xlarge=5; r5a.2xlarge=4; r5a.large=6; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,exponential,0.15,40,0,MCT,567.22,0, 6, 13, 8, 5, 7, 3, 2, 0, 3, 5, 6, 3, 0, 2, 15, 0, 5, 0, 3, 5, 2, 4, 1, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=6; c5a.2xlarge=13; c5a.xlarge=8; d3.2xlarge=5; d3.xlarge=7; i3.2xlarge=3; i3.large=2; i3.xlarge=0; m5.2xlarge=3; m5.large=5; m5.xlarge=6; m5a.2xlarge=3; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=15; m5zn.large=0; m5zn.xlarge=5; r5.2xlarge=0; r5.large=3; r5.xlarge=5; r5a.2xlarge=2; r5a.large=4; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,exponential,0.15,40,0,ROUNDROBIN,561.6999999999999,0, 6, 10, 6, 8, 7, 1, 1, 0, 5, 9, 1, 8, 0, 3, 9, 0, 1, 0, 1, 7, 4, 9, 2, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=6; c5a.2xlarge=10; c5a.xlarge=6; d3.2xlarge=8; d3.xlarge=7; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=5; m5.large=9; m5.xlarge=1; m5a.2xlarge=8; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=9; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=7; r5a.2xlarge=4; r5a.large=9; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,exponential,0.15,40,0,STATIC,383.10999999999996,0, 4, 13, 8, 6, 5, 0, 2, 0, 3, 9, 5, 2, 0, 5, 16, 0, 3, 0, 2, 4, 2, 4, 5, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=4; c5a.2xlarge=13; c5a.xlarge=8; d3.2xlarge=6; d3.xlarge=5; i3.2xlarge=0; i3.large=2; i3.xlarge=0; m5.2xlarge=3; m5.large=9; m5.xlarge=5; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=5; m5zn.2xlarge=16; m5zn.large=0; m5zn.xlarge=3; r5.2xlarge=0; r5.large=2; r5.xlarge=4; r5a.2xlarge=2; r5a.large=4; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,exponential,0.15,40,0,NOML,705.2799999999999,0, 10, 13, 9, 3, 3, 3, 4, 0, 4, 3, 7, 6, 0, 6, 5, 0, 2, 0, 2, 5, 5, 4, 4, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=10; c5a.2xlarge=13; c5a.xlarge=9; d3.2xlarge=3; d3.xlarge=3; i3.2xlarge=3; i3.large=4; i3.xlarge=0; m5.2xlarge=4; m5.large=3; m5.xlarge=7; m5a.2xlarge=6; m5a.large=0; m5a.xlarge=6; m5zn.2xlarge=5; m5zn.large=0; m5zn.xlarge=2; r5.2xlarge=0; r5.large=2; r5.xlarge=5; r5a.2xlarge=5; r5a.large=4; r5a.xlarge=4; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,exponential,0.15,40,0,CUSTOMCLUSTERNOML,706.52,0, 2, 12, 8, 9, 4, 4, 3, 0, 4, 5, 6, 4, 0, 2, 12, 0, 3, 0, 5, 3, 3, 5, 4, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=12; c5a.xlarge=8; d3.2xlarge=9; d3.xlarge=4; i3.2xlarge=4; i3.large=3; i3.xlarge=0; m5.2xlarge=4; m5.large=5; m5.xlarge=6; m5a.2xlarge=4; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=12; m5zn.large=0; m5zn.xlarge=3; r5.2xlarge=0; r5.large=5; r5.xlarge=3; r5a.2xlarge=3; r5a.large=5; r5a.xlarge=4; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,exponential,0.15,40,0,TEXTDISTANCE,354.10999999999996,0, 4, 11, 7, 6, 3, 1, 3, 0, 7, 6, 12, 4, 0, 4, 6, 0, 5, 0, 2, 6, 6, 5, 0, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=4; c5a.2xlarge=11; c5a.xlarge=7; d3.2xlarge=6; d3.xlarge=3; i3.2xlarge=1; i3.large=3; i3.xlarge=0; m5.2xlarge=7; m5.large=6; m5.xlarge=12; m5a.2xlarge=4; m5a.large=0; m5a.xlarge=4; m5zn.2xlarge=6; m5zn.large=0; m5zn.xlarge=5; r5.2xlarge=0; r5.large=2; r5.xlarge=6; r5a.2xlarge=6; r5a.large=5; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,exponential,0.15,40,0,CRITICALPATH,474.96999999999997,0, 4, 12, 10, 7, 4, 4, 4, 0, 3, 2, 8, 3, 0, 5, 9, 0, 2, 0, 4, 3, 4, 6, 4, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=4; c5a.2xlarge=12; c5a.xlarge=10; d3.2xlarge=7; d3.xlarge=4; i3.2xlarge=4; i3.large=4; i3.xlarge=0; m5.2xlarge=3; m5.large=2; m5.xlarge=8; m5a.2xlarge=3; m5a.large=0; m5a.xlarge=5; m5zn.2xlarge=9; m5zn.large=0; m5zn.xlarge=2; r5.2xlarge=0; r5.large=4; r5.xlarge=3; r5a.2xlarge=4; r5a.large=6; r5a.xlarge=4; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,exponential,0.15,40,0,CRITICALPATHREVERSE,487.43999999999994,0, 10, 14, 13, 8, 4, 1, 1, 0, 2, 4, 4, 1, 0, 4, 12, 0, 6, 0, 2, 4, 1, 4, 3, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=10; c5a.2xlarge=14; c5a.xlarge=13; d3.2xlarge=8; d3.xlarge=4; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=4; m5.xlarge=4; m5a.2xlarge=1; m5a.large=0; m5a.xlarge=4; m5zn.2xlarge=12; m5zn.large=0; m5zn.xlarge=6; r5.2xlarge=0; r5.large=2; r5.xlarge=4; r5a.2xlarge=1; r5a.large=4; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,exponential,0.15,40,0,RESHIV2,473.5399999999999,0, 5, 14, 10, 6, 4, 1, 1, 0, 6, 8, 8, 4, 0, 0, 10, 0, 5, 0, 4, 2, 3, 3, 4, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=5; c5a.2xlarge=14; c5a.xlarge=10; d3.2xlarge=6; d3.xlarge=4; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=6; m5.large=8; m5.xlarge=8; m5a.2xlarge=4; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=10; m5zn.large=0; m5zn.xlarge=5; r5.2xlarge=0; r5.large=4; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=4; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
