Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes,Cluster
viralrecon,exponential,0.1,40,0,MINMIN,518.56,0, 12, 26, 13, 3, 16, 3, 0, 0, 9, 4, 6, 15, 0, 2, 49, 0, 7, 0, 2, 15, 6, 5, 6, 0, 0, 7,{c5.2xlarge=0; c5.xlarge=12; c5a.2xlarge=26; c5a.xlarge=13; d3.2xlarge=3; d3.xlarge=16; i3.2xlarge=3; i3.large=0; i3.xlarge=0; m5.2xlarge=9; m5.large=4; m5.xlarge=6; m5a.2xlarge=15; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=49; m5zn.large=0; m5zn.xlarge=7; r5.2xlarge=0; r5.large=2; r5.xlarge=15; r5a.2xlarge=6; r5a.large=5; r5a.xlarge=6; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=7},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.1,40,0,MAXMIN,554.87,0, 14, 20, 14, 15, 11, 0, 0, 0, 6, 7, 9, 18, 0, 1, 35, 0, 4, 0, 8, 19, 5, 10, 2, 0, 0, 8,{c5.2xlarge=0; c5.xlarge=14; c5a.2xlarge=20; c5a.xlarge=14; d3.2xlarge=15; d3.xlarge=11; i3.2xlarge=0; i3.large=0; i3.xlarge=0; m5.2xlarge=6; m5.large=7; m5.xlarge=9; m5a.2xlarge=18; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=35; m5zn.large=0; m5zn.xlarge=4; r5.2xlarge=0; r5.large=8; r5.xlarge=19; r5a.2xlarge=5; r5a.large=10; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=8},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.1,40,0,MCT,524.4,0, 11, 15, 17, 7, 13, 1, 0, 0, 9, 7, 11, 15, 0, 2, 44, 0, 11, 0, 6, 18, 1, 7, 5, 0, 0, 6,{c5.2xlarge=0; c5.xlarge=11; c5a.2xlarge=15; c5a.xlarge=17; d3.2xlarge=7; d3.xlarge=13; i3.2xlarge=1; i3.large=0; i3.xlarge=0; m5.2xlarge=9; m5.large=7; m5.xlarge=11; m5a.2xlarge=15; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=44; m5zn.large=0; m5zn.xlarge=11; r5.2xlarge=0; r5.large=6; r5.xlarge=18; r5a.2xlarge=1; r5a.large=7; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=6},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.1,40,0,ROUNDROBIN,582.9799999999997,0, 10, 18, 12, 15, 6, 2, 0, 0, 6, 2, 1, 26, 0, 4, 61, 0, 0, 0, 2, 12, 2, 21, 5, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=10; c5a.2xlarge=18; c5a.xlarge=12; d3.2xlarge=15; d3.xlarge=6; i3.2xlarge=2; i3.large=0; i3.xlarge=0; m5.2xlarge=6; m5.large=2; m5.xlarge=1; m5a.2xlarge=26; m5a.large=0; m5a.xlarge=4; m5zn.2xlarge=61; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=2; r5.xlarge=12; r5a.2xlarge=2; r5a.large=21; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.1,40,0,STATIC,525.9999999999998,0, 7, 15, 8, 4, 15, 3, 2, 0, 9, 3, 8, 6, 0, 2, 85, 0, 7, 0, 3, 13, 0, 6, 1, 0, 0, 8,{c5.2xlarge=0; c5.xlarge=7; c5a.2xlarge=15; c5a.xlarge=8; d3.2xlarge=4; d3.xlarge=15; i3.2xlarge=3; i3.large=2; i3.xlarge=0; m5.2xlarge=9; m5.large=3; m5.xlarge=8; m5a.2xlarge=6; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=85; m5zn.large=0; m5zn.xlarge=7; r5.2xlarge=0; r5.large=3; r5.xlarge=13; r5a.2xlarge=0; r5a.large=6; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=8},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.1,40,0,NOML,331.59999999999985,0, 15, 18, 13, 10, 9, 6, 9, 0, 11, 8, 14, 7, 0, 6, 17, 0, 6, 0, 7, 12, 8, 10, 8, 0, 0, 11,{c5.2xlarge=0; c5.xlarge=15; c5a.2xlarge=18; c5a.xlarge=13; d3.2xlarge=10; d3.xlarge=9; i3.2xlarge=6; i3.large=9; i3.xlarge=0; m5.2xlarge=11; m5.large=8; m5.xlarge=14; m5a.2xlarge=7; m5a.large=0; m5a.xlarge=6; m5zn.2xlarge=17; m5zn.large=0; m5zn.xlarge=6; r5.2xlarge=0; r5.large=7; r5.xlarge=12; r5a.2xlarge=8; r5a.large=10; r5a.xlarge=8; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=11},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.1,40,0,CUSTOMCLUSTERNOML,337.1699999999999,0, 13, 17, 6, 26, 13, 9, 4, 0, 6, 11, 18, 4, 0, 9, 13, 0, 11, 0, 9, 8, 5, 6, 13, 0, 0, 4,{c5.2xlarge=0; c5.xlarge=13; c5a.2xlarge=17; c5a.xlarge=6; d3.2xlarge=26; d3.xlarge=13; i3.2xlarge=9; i3.large=4; i3.xlarge=0; m5.2xlarge=6; m5.large=11; m5.xlarge=18; m5a.2xlarge=4; m5a.large=0; m5a.xlarge=9; m5zn.2xlarge=13; m5zn.large=0; m5zn.xlarge=11; r5.2xlarge=0; r5.large=9; r5.xlarge=8; r5a.2xlarge=5; r5a.large=6; r5a.xlarge=13; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=4},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.1,40,0,TEXTDISTANCE,346.8599999999998,0, 13, 9, 18, 5, 9, 11, 7, 0, 13, 14, 18, 10, 0, 7, 12, 0, 7, 0, 7, 13, 8, 7, 8, 0, 0, 9,{c5.2xlarge=0; c5.xlarge=13; c5a.2xlarge=9; c5a.xlarge=18; d3.2xlarge=5; d3.xlarge=9; i3.2xlarge=11; i3.large=7; i3.xlarge=0; m5.2xlarge=13; m5.large=14; m5.xlarge=18; m5a.2xlarge=10; m5a.large=0; m5a.xlarge=7; m5zn.2xlarge=12; m5zn.large=0; m5zn.xlarge=7; r5.2xlarge=0; r5.large=7; r5.xlarge=13; r5a.2xlarge=8; r5a.large=7; r5a.xlarge=8; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=9},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.1,40,0,CRITICALPATH,328.3599999999999,0, 11, 23, 10, 11, 11, 9, 6, 0, 11, 8, 12, 4, 0, 10, 23, 0, 10, 0, 4, 6, 11, 6, 5, 0, 0, 15,{c5.2xlarge=0; c5.xlarge=11; c5a.2xlarge=23; c5a.xlarge=10; d3.2xlarge=11; d3.xlarge=11; i3.2xlarge=9; i3.large=6; i3.xlarge=0; m5.2xlarge=11; m5.large=8; m5.xlarge=12; m5a.2xlarge=4; m5a.large=0; m5a.xlarge=10; m5zn.2xlarge=23; m5zn.large=0; m5zn.xlarge=10; r5.2xlarge=0; r5.large=4; r5.xlarge=6; r5a.2xlarge=11; r5a.large=6; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=15},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.1,40,0,CRITICALPATHREVERSE,451.09999999999985,0, 20, 16, 15, 11, 15, 7, 7, 0, 7, 8, 8, 5, 0, 6, 27, 0, 13, 0, 6, 8, 10, 6, 7, 0, 0, 4,{c5.2xlarge=0; c5.xlarge=20; c5a.2xlarge=16; c5a.xlarge=15; d3.2xlarge=11; d3.xlarge=15; i3.2xlarge=7; i3.large=7; i3.xlarge=0; m5.2xlarge=7; m5.large=8; m5.xlarge=8; m5a.2xlarge=5; m5a.large=0; m5a.xlarge=6; m5zn.2xlarge=27; m5zn.large=0; m5zn.xlarge=13; r5.2xlarge=0; r5.large=6; r5.xlarge=8; r5a.2xlarge=10; r5a.large=6; r5a.xlarge=7; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=4},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.1,40,0,RESHIV2,646.9999999999998,0, 12, 21, 20, 14, 11, 6, 7, 0, 5, 7, 12, 4, 0, 7, 15, 0, 10, 0, 8, 10, 7, 9, 13, 0, 0, 8,{c5.2xlarge=0; c5.xlarge=12; c5a.2xlarge=21; c5a.xlarge=20; d3.2xlarge=14; d3.xlarge=11; i3.2xlarge=6; i3.large=7; i3.xlarge=0; m5.2xlarge=5; m5.large=7; m5.xlarge=12; m5a.2xlarge=4; m5a.large=0; m5a.xlarge=7; m5zn.2xlarge=15; m5zn.large=0; m5zn.xlarge=10; r5.2xlarge=0; r5.large=8; r5.xlarge=10; r5a.2xlarge=7; r5a.large=9; r5a.xlarge=13; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=8},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
