Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes
viralrecon,exponential,0.2,40,0,MINMIN,674.8299999999999,0, 10, 12, 8, 11, 22, 5, 2, 0, 7, 5, 12, 14, 0, 4, 44, 0, 8, 0, 5, 14, 5, 9, 4, 0, 0, 4,{c5.2xlarge=0; c5.xlarge=10; c5a.2xlarge=12; c5a.xlarge=8; d3.2xlarge=11; d3.xlarge=22; i3.2xlarge=5; i3.large=2; i3.xlarge=0; m5.2xlarge=7; m5.large=5; m5.xlarge=12; m5a.2xlarge=14; m5a.large=0; m5a.xlarge=4; m5zn.2xlarge=44; m5zn.large=0; m5zn.xlarge=8; r5.2xlarge=0; r5.large=5; r5.xlarge=14; r5a.2xlarge=5; r5a.large=9; r5a.xlarge=4; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=4}
viralrecon,exponential,0.2,40,0,MAXMIN,645.9999999999999,0, 13, 16, 15, 16, 14, 1, 1, 0, 7, 33, 10, 17, 0, 7, 17, 0, 3, 0, 3, 11, 6, 10, 6, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=13; c5a.2xlarge=16; c5a.xlarge=15; d3.2xlarge=16; d3.xlarge=14; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=7; m5.large=33; m5.xlarge=10; m5a.2xlarge=17; m5a.large=0; m5a.xlarge=7; m5zn.2xlarge=17; m5zn.large=0; m5zn.xlarge=3; r5.2xlarge=0; r5.large=3; r5.xlarge=11; r5a.2xlarge=6; r5a.large=10; r5a.xlarge=6; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
viralrecon,exponential,0.2,40,0,MCT,734.7399999999998,0, 8, 9, 20, 13, 13, 1, 2, 0, 7, 45, 12, 12, 0, 6, 21, 0, 6, 0, 2, 13, 5, 7, 3, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=8; c5a.2xlarge=9; c5a.xlarge=20; d3.2xlarge=13; d3.xlarge=13; i3.2xlarge=1; i3.large=2; i3.xlarge=0; m5.2xlarge=7; m5.large=45; m5.xlarge=12; m5a.2xlarge=12; m5a.large=0; m5a.xlarge=6; m5zn.2xlarge=21; m5zn.large=0; m5zn.xlarge=6; r5.2xlarge=0; r5.large=2; r5.xlarge=13; r5a.2xlarge=5; r5a.large=7; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
viralrecon,exponential,0.2,40,0,ROUNDROBIN,739.4699999999998,0, 12, 17, 9, 10, 17, 2, 0, 0, 14, 53, 1, 20, 0, 5, 10, 0, 0, 0, 2, 15, 4, 10, 4, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=12; c5a.2xlarge=17; c5a.xlarge=9; d3.2xlarge=10; d3.xlarge=17; i3.2xlarge=2; i3.large=0; i3.xlarge=0; m5.2xlarge=14; m5.large=53; m5.xlarge=1; m5a.2xlarge=20; m5a.large=0; m5a.xlarge=5; m5zn.2xlarge=10; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=2; r5.xlarge=15; r5a.2xlarge=4; r5a.large=10; r5a.xlarge=4; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
viralrecon,exponential,0.2,40,0,STATIC,624.3899999999998,0, 8, 15, 8, 14, 10, 2, 3, 0, 8, 60, 7, 15, 0, 11, 5, 0, 6, 0, 3, 15, 2, 11, 3, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=8; c5a.2xlarge=15; c5a.xlarge=8; d3.2xlarge=14; d3.xlarge=10; i3.2xlarge=2; i3.large=3; i3.xlarge=0; m5.2xlarge=8; m5.large=60; m5.xlarge=7; m5a.2xlarge=15; m5a.large=0; m5a.xlarge=11; m5zn.2xlarge=5; m5zn.large=0; m5zn.xlarge=6; r5.2xlarge=0; r5.large=3; r5.xlarge=15; r5a.2xlarge=2; r5a.large=11; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
viralrecon,exponential,0.2,40,0,NOML,332.81,0, 16, 18, 11, 15, 10, 9, 7, 0, 6, 11, 10, 11, 0, 7, 17, 0, 10, 0, 6, 15, 6, 12, 9, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=16; c5a.2xlarge=18; c5a.xlarge=11; d3.2xlarge=15; d3.xlarge=10; i3.2xlarge=9; i3.large=7; i3.xlarge=0; m5.2xlarge=6; m5.large=11; m5.xlarge=10; m5a.2xlarge=11; m5a.large=0; m5a.xlarge=7; m5zn.2xlarge=17; m5zn.large=0; m5zn.xlarge=10; r5.2xlarge=0; r5.large=6; r5.xlarge=15; r5a.2xlarge=6; r5a.large=12; r5a.xlarge=9; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
viralrecon,exponential,0.2,40,0,CUSTOMCLUSTERNOML,337.6199999999998,0, 16, 17, 13, 21, 11, 4, 5, 0, 10, 7, 9, 7, 0, 14, 15, 0, 14, 0, 11, 9, 11, 6, 5, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=16; c5a.2xlarge=17; c5a.xlarge=13; d3.2xlarge=21; d3.xlarge=11; i3.2xlarge=4; i3.large=5; i3.xlarge=0; m5.2xlarge=10; m5.large=7; m5.xlarge=9; m5a.2xlarge=7; m5a.large=0; m5a.xlarge=14; m5zn.2xlarge=15; m5zn.large=0; m5zn.xlarge=14; r5.2xlarge=0; r5.large=11; r5.xlarge=9; r5a.2xlarge=11; r5a.large=6; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
viralrecon,exponential,0.2,40,0,TEXTDISTANCE,473.47999999999996,0, 7, 10, 19, 5, 12, 9, 9, 0, 5, 16, 15, 9, 0, 9, 19, 0, 13, 0, 4, 19, 12, 6, 8, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=7; c5a.2xlarge=10; c5a.xlarge=19; d3.2xlarge=5; d3.xlarge=12; i3.2xlarge=9; i3.large=9; i3.xlarge=0; m5.2xlarge=5; m5.large=16; m5.xlarge=15; m5a.2xlarge=9; m5a.large=0; m5a.xlarge=9; m5zn.2xlarge=19; m5zn.large=0; m5zn.xlarge=13; r5.2xlarge=0; r5.large=4; r5.xlarge=19; r5a.2xlarge=12; r5a.large=6; r5a.xlarge=8; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
viralrecon,exponential,0.2,40,0,CRITICALPATH,531.6299999999999,0, 17, 23, 14, 13, 13, 13, 5, 0, 9, 11, 13, 7, 0, 6, 21, 0, 9, 0, 4, 10, 7, 6, 5, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=17; c5a.2xlarge=23; c5a.xlarge=14; d3.2xlarge=13; d3.xlarge=13; i3.2xlarge=13; i3.large=5; i3.xlarge=0; m5.2xlarge=9; m5.large=11; m5.xlarge=13; m5a.2xlarge=7; m5a.large=0; m5a.xlarge=6; m5zn.2xlarge=21; m5zn.large=0; m5zn.xlarge=9; r5.2xlarge=0; r5.large=4; r5.xlarge=10; r5a.2xlarge=7; r5a.large=6; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
viralrecon,exponential,0.2,40,0,CRITICALPATHREVERSE,450.1499999999999,0, 20, 20, 10, 11, 9, 10, 9, 0, 5, 9, 11, 7, 0, 14, 26, 0, 4, 0, 8, 10, 4, 9, 9, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=20; c5a.2xlarge=20; c5a.xlarge=10; d3.2xlarge=11; d3.xlarge=9; i3.2xlarge=10; i3.large=9; i3.xlarge=0; m5.2xlarge=5; m5.large=9; m5.xlarge=11; m5a.2xlarge=7; m5a.large=0; m5a.xlarge=14; m5zn.2xlarge=26; m5zn.large=0; m5zn.xlarge=4; r5.2xlarge=0; r5.large=8; r5.xlarge=10; r5a.2xlarge=4; r5a.large=9; r5a.xlarge=9; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
viralrecon,exponential,0.2,40,0,RESHIV2,357.78999999999996,0, 13, 19, 18, 13, 11, 5, 9, 0, 6, 12, 14, 8, 0, 12, 21, 0, 4, 0, 7, 8, 7, 13, 5, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=13; c5a.2xlarge=19; c5a.xlarge=18; d3.2xlarge=13; d3.xlarge=11; i3.2xlarge=5; i3.large=9; i3.xlarge=0; m5.2xlarge=6; m5.large=12; m5.xlarge=14; m5a.2xlarge=8; m5a.large=0; m5a.xlarge=12; m5zn.2xlarge=21; m5zn.large=0; m5zn.xlarge=4; r5.2xlarge=0; r5.large=7; r5.xlarge=8; r5a.2xlarge=7; r5a.large=13; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
