Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes
viralrecon,normal,0.15,40,0,MINMIN,536.1499999999999,0, 9, 24, 19, 11, 21, 1, 2, 0, 9, 5, 9, 11, 0, 0, 37, 0, 11, 0, 5, 19, 0, 5, 5, 0, 0, 3,{c5.2xlarge=0; c5.xlarge=9; c5a.2xlarge=24; c5a.xlarge=19; d3.2xlarge=11; d3.xlarge=21; i3.2xlarge=1; i3.large=2; i3.xlarge=0; m5.2xlarge=9; m5.large=5; m5.xlarge=9; m5a.2xlarge=11; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=37; m5zn.large=0; m5zn.xlarge=11; r5.2xlarge=0; r5.large=5; r5.xlarge=19; r5a.2xlarge=0; r5a.large=5; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=3}
viralrecon,normal,0.15,40,0,MAXMIN,545.5099999999999,0, 14, 28, 17, 8, 16, 2, 0, 0, 5, 23, 12, 15, 0, 1, 21, 0, 10, 0, 5, 18, 1, 7, 3, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=14; c5a.2xlarge=28; c5a.xlarge=17; d3.2xlarge=8; d3.xlarge=16; i3.2xlarge=2; i3.large=0; i3.xlarge=0; m5.2xlarge=5; m5.large=23; m5.xlarge=12; m5a.2xlarge=15; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=21; m5zn.large=0; m5zn.xlarge=10; r5.2xlarge=0; r5.large=5; r5.xlarge=18; r5a.2xlarge=1; r5a.large=7; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
viralrecon,normal,0.15,40,0,MCT,670.13,0, 13, 24, 16, 9, 12, 2, 0, 0, 8, 37, 11, 10, 0, 0, 32, 0, 10, 0, 4, 11, 0, 3, 4, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=13; c5a.2xlarge=24; c5a.xlarge=16; d3.2xlarge=9; d3.xlarge=12; i3.2xlarge=2; i3.large=0; i3.xlarge=0; m5.2xlarge=8; m5.large=37; m5.xlarge=11; m5a.2xlarge=10; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=32; m5zn.large=0; m5zn.xlarge=10; r5.2xlarge=0; r5.large=4; r5.xlarge=11; r5a.2xlarge=0; r5a.large=3; r5a.xlarge=4; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
viralrecon,normal,0.15,40,0,ROUNDROBIN,739.4699999999998,0, 12, 17, 9, 10, 17, 2, 0, 0, 14, 53, 1, 20, 0, 5, 10, 0, 0, 0, 2, 15, 4, 10, 4, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=12; c5a.2xlarge=17; c5a.xlarge=9; d3.2xlarge=10; d3.xlarge=17; i3.2xlarge=2; i3.large=0; i3.xlarge=0; m5.2xlarge=14; m5.large=53; m5.xlarge=1; m5a.2xlarge=20; m5a.large=0; m5a.xlarge=5; m5zn.2xlarge=10; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=2; r5.xlarge=15; r5a.2xlarge=4; r5a.large=10; r5a.xlarge=4; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
viralrecon,normal,0.15,40,0,STATIC,530.2299999999999,0, 7, 16, 10, 3, 11, 2, 0, 0, 6, 53, 4, 6, 0, 0, 59, 0, 15, 0, 3, 10, 0, 1, 0, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=7; c5a.2xlarge=16; c5a.xlarge=10; d3.2xlarge=3; d3.xlarge=11; i3.2xlarge=2; i3.large=0; i3.xlarge=0; m5.2xlarge=6; m5.large=53; m5.xlarge=4; m5a.2xlarge=6; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=59; m5zn.large=0; m5zn.xlarge=15; r5.2xlarge=0; r5.large=3; r5.xlarge=10; r5a.2xlarge=0; r5a.large=1; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
viralrecon,normal,0.15,40,0,NOML,331.84999999999985,0, 17, 19, 10, 15, 11, 8, 4, 0, 9, 14, 11, 7, 0, 9, 17, 0, 10, 0, 11, 11, 7, 8, 7, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=17; c5a.2xlarge=19; c5a.xlarge=10; d3.2xlarge=15; d3.xlarge=11; i3.2xlarge=8; i3.large=4; i3.xlarge=0; m5.2xlarge=9; m5.large=14; m5.xlarge=11; m5a.2xlarge=7; m5a.large=0; m5a.xlarge=9; m5zn.2xlarge=17; m5zn.large=0; m5zn.xlarge=10; r5.2xlarge=0; r5.large=11; r5.xlarge=11; r5a.2xlarge=7; r5a.large=8; r5a.xlarge=7; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
viralrecon,normal,0.15,40,0,CUSTOMCLUSTERNOML,531.5199999999999,0, 16, 19, 12, 22, 10, 7, 6, 0, 12, 9, 10, 9, 0, 6, 12, 0, 8, 0, 9, 11, 9, 12, 6, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=16; c5a.2xlarge=19; c5a.xlarge=12; d3.2xlarge=22; d3.xlarge=10; i3.2xlarge=7; i3.large=6; i3.xlarge=0; m5.2xlarge=12; m5.large=9; m5.xlarge=10; m5a.2xlarge=9; m5a.large=0; m5a.xlarge=6; m5zn.2xlarge=12; m5zn.large=0; m5zn.xlarge=8; r5.2xlarge=0; r5.large=9; r5.xlarge=11; r5a.2xlarge=9; r5a.large=12; r5a.xlarge=6; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
viralrecon,normal,0.15,40,0,TEXTDISTANCE,351.6299999999998,0, 7, 20, 14, 13, 10, 11, 6, 0, 13, 12, 12, 6, 0, 7, 14, 0, 10, 0, 5, 11, 17, 11, 6, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=7; c5a.2xlarge=20; c5a.xlarge=14; d3.2xlarge=13; d3.xlarge=10; i3.2xlarge=11; i3.large=6; i3.xlarge=0; m5.2xlarge=13; m5.large=12; m5.xlarge=12; m5a.2xlarge=6; m5a.large=0; m5a.xlarge=7; m5zn.2xlarge=14; m5zn.large=0; m5zn.xlarge=10; r5.2xlarge=0; r5.large=5; r5.xlarge=11; r5a.2xlarge=17; r5a.large=11; r5a.xlarge=6; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
viralrecon,normal,0.15,40,0,CRITICALPATH,328.2899999999999,0, 13, 25, 11, 10, 11, 7, 5, 0, 8, 14, 13, 5, 0, 9, 18, 0, 14, 0, 7, 11, 5, 8, 11, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=13; c5a.2xlarge=25; c5a.xlarge=11; d3.2xlarge=10; d3.xlarge=11; i3.2xlarge=7; i3.large=5; i3.xlarge=0; m5.2xlarge=8; m5.large=14; m5.xlarge=13; m5a.2xlarge=5; m5a.large=0; m5a.xlarge=9; m5zn.2xlarge=18; m5zn.large=0; m5zn.xlarge=14; r5.2xlarge=0; r5.large=7; r5.xlarge=11; r5a.2xlarge=5; r5a.large=8; r5a.xlarge=11; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
viralrecon,normal,0.15,40,0,CRITICALPATHREVERSE,649.3999999999999,0, 20, 22, 16, 14, 13, 7, 4, 0, 5, 11, 9, 8, 0, 6, 24, 0, 9, 0, 6, 12, 6, 8, 6, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=20; c5a.2xlarge=22; c5a.xlarge=16; d3.2xlarge=14; d3.xlarge=13; i3.2xlarge=7; i3.large=4; i3.xlarge=0; m5.2xlarge=5; m5.large=11; m5.xlarge=9; m5a.2xlarge=8; m5a.large=0; m5a.xlarge=6; m5zn.2xlarge=24; m5zn.large=0; m5zn.xlarge=9; r5.2xlarge=0; r5.large=6; r5.xlarge=12; r5a.2xlarge=6; r5a.large=8; r5a.xlarge=6; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
viralrecon,normal,0.15,40,0,RESHIV2,647.0799999999999,0, 10, 20, 18, 10, 11, 7, 4, 0, 9, 17, 14, 8, 0, 7, 25, 0, 8, 0, 8, 11, 4, 5, 9, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=10; c5a.2xlarge=20; c5a.xlarge=18; d3.2xlarge=10; d3.xlarge=11; i3.2xlarge=7; i3.large=4; i3.xlarge=0; m5.2xlarge=9; m5.large=17; m5.xlarge=14; m5a.2xlarge=8; m5a.large=0; m5a.xlarge=7; m5zn.2xlarge=25; m5zn.large=0; m5zn.xlarge=8; r5.2xlarge=0; r5.large=8; r5.xlarge=11; r5a.2xlarge=4; r5a.large=5; r5a.xlarge=9; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
