Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes
chipseq,normal,0.1,40,0,MINMIN,353.6599999999999,0, 10, 14, 12, 6, 4, 1, 1, 0, 4, 2, 6, 1, 0, 2, 12, 0, 8, 0, 2, 2, 0, 5, 2, 0, 0, 4,{c5.2xlarge=0; c5.xlarge=10; c5a.2xlarge=14; c5a.xlarge=12; d3.2xlarge=6; d3.xlarge=4; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=4; m5.large=2; m5.xlarge=6; m5a.2xlarge=1; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=12; m5zn.large=0; m5zn.xlarge=8; r5.2xlarge=0; r5.large=2; r5.xlarge=2; r5a.2xlarge=0; r5a.large=5; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=4}
chipseq,normal,0.1,40,0,MAXMIN,473.9699999999999,0, 8, 9, 7, 6, 4, 2, 2, 0, 3, 5, 9, 2, 0, 2, 13, 0, 5, 0, 2, 5, 1, 8, 5, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=8; c5a.2xlarge=9; c5a.xlarge=7; d3.2xlarge=6; d3.xlarge=4; i3.2xlarge=2; i3.large=2; i3.xlarge=0; m5.2xlarge=3; m5.large=5; m5.xlarge=9; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=13; m5zn.large=0; m5zn.xlarge=5; r5.2xlarge=0; r5.large=2; r5.xlarge=5; r5a.2xlarge=1; r5a.large=8; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,normal,0.1,40,0,MCT,353.40999999999997,0, 10, 14, 9, 4, 4, 1, 1, 0, 3, 7, 6, 1, 0, 2, 19, 0, 6, 0, 2, 4, 0, 3, 2, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=10; c5a.2xlarge=14; c5a.xlarge=9; d3.2xlarge=4; d3.xlarge=4; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=3; m5.large=7; m5.xlarge=6; m5a.2xlarge=1; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=19; m5zn.large=0; m5zn.xlarge=6; r5.2xlarge=0; r5.large=2; r5.xlarge=4; r5a.2xlarge=0; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,normal,0.1,40,0,ROUNDROBIN,561.6999999999999,0, 6, 10, 6, 8, 7, 1, 1, 0, 5, 9, 1, 8, 0, 3, 9, 0, 1, 0, 1, 7, 4, 9, 2, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=6; c5a.2xlarge=10; c5a.xlarge=6; d3.2xlarge=8; d3.xlarge=7; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=5; m5.large=9; m5.xlarge=1; m5a.2xlarge=8; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=9; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=7; r5a.2xlarge=4; r5a.large=9; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,normal,0.1,40,0,STATIC,346.97999999999996,0, 9, 13, 11, 5, 4, 0, 3, 0, 4, 4, 6, 1, 0, 2, 16, 0, 7, 0, 1, 5, 1, 4, 2, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=9; c5a.2xlarge=13; c5a.xlarge=11; d3.2xlarge=5; d3.xlarge=4; i3.2xlarge=0; i3.large=3; i3.xlarge=0; m5.2xlarge=4; m5.large=4; m5.xlarge=6; m5a.2xlarge=1; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=16; m5zn.large=0; m5zn.xlarge=7; r5.2xlarge=0; r5.large=1; r5.xlarge=5; r5a.2xlarge=1; r5a.large=4; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,normal,0.1,40,0,NOML,706.78,0, 9, 12, 8, 4, 5, 1, 3, 0, 4, 4, 7, 6, 0, 6, 6, 0, 2, 0, 3, 4, 5, 5, 4, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=9; c5a.2xlarge=12; c5a.xlarge=8; d3.2xlarge=4; d3.xlarge=5; i3.2xlarge=1; i3.large=3; i3.xlarge=0; m5.2xlarge=4; m5.large=4; m5.xlarge=7; m5a.2xlarge=6; m5a.large=0; m5a.xlarge=6; m5zn.2xlarge=6; m5zn.large=0; m5zn.xlarge=2; r5.2xlarge=0; r5.large=3; r5.xlarge=4; r5a.2xlarge=5; r5a.large=5; r5a.xlarge=4; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,normal,0.1,40,0,CUSTOMCLUSTERNOML,584.2499999999999,0, 3, 12, 9, 8, 5, 4, 3, 0, 4, 5, 5, 4, 0, 1, 12, 0, 3, 0, 4, 3, 2, 6, 5, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=3; c5a.2xlarge=12; c5a.xlarge=9; d3.2xlarge=8; d3.xlarge=5; i3.2xlarge=4; i3.large=3; i3.xlarge=0; m5.2xlarge=4; m5.large=5; m5.xlarge=5; m5a.2xlarge=4; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=12; m5zn.large=0; m5zn.xlarge=3; r5.2xlarge=0; r5.large=4; r5.xlarge=3; r5a.2xlarge=2; r5a.large=6; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,normal,0.1,40,0,TEXTDISTANCE,352.96999999999997,0, 6, 10, 7, 4, 2, 2, 3, 0, 7, 7, 12, 4, 0, 3, 7, 0, 4, 0, 2, 7, 4, 5, 2, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=6; c5a.2xlarge=10; c5a.xlarge=7; d3.2xlarge=4; d3.xlarge=2; i3.2xlarge=2; i3.large=3; i3.xlarge=0; m5.2xlarge=7; m5.large=7; m5.xlarge=12; m5a.2xlarge=4; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=7; m5zn.large=0; m5zn.xlarge=4; r5.2xlarge=0; r5.large=2; r5.xlarge=7; r5a.2xlarge=4; r5a.large=5; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,normal,0.1,40,0,CRITICALPATH,531.28,0, 4, 12, 12, 6, 4, 4, 3, 0, 4, 2, 8, 2, 0, 4, 10, 0, 2, 0, 4, 5, 1, 7, 4, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=4; c5a.2xlarge=12; c5a.xlarge=12; d3.2xlarge=6; d3.xlarge=4; i3.2xlarge=4; i3.large=3; i3.xlarge=0; m5.2xlarge=4; m5.large=2; m5.xlarge=8; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=4; m5zn.2xlarge=10; m5zn.large=0; m5zn.xlarge=2; r5.2xlarge=0; r5.large=4; r5.xlarge=5; r5a.2xlarge=1; r5a.large=7; r5a.xlarge=4; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,normal,0.1,40,0,CRITICALPATHREVERSE,487.2899999999999,0, 8, 16, 13, 5, 6, 1, 1, 0, 3, 5, 4, 3, 0, 4, 12, 0, 5, 0, 1, 3, 0, 4, 4, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=8; c5a.2xlarge=16; c5a.xlarge=13; d3.2xlarge=5; d3.xlarge=6; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=3; m5.large=5; m5.xlarge=4; m5a.2xlarge=3; m5a.large=0; m5a.xlarge=4; m5zn.2xlarge=12; m5zn.large=0; m5zn.xlarge=5; r5.2xlarge=0; r5.large=1; r5.xlarge=3; r5a.2xlarge=0; r5a.large=4; r5a.xlarge=4; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,normal,0.1,40,0,RESHIV2,526.46,0, 4, 12, 10, 8, 4, 2, 1, 0, 4, 8, 8, 3, 0, 3, 10, 0, 5, 0, 4, 3, 3, 4, 2, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=4; c5a.2xlarge=12; c5a.xlarge=10; d3.2xlarge=8; d3.xlarge=4; i3.2xlarge=2; i3.large=1; i3.xlarge=0; m5.2xlarge=4; m5.large=8; m5.xlarge=8; m5a.2xlarge=3; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=10; m5zn.large=0; m5zn.xlarge=5; r5.2xlarge=0; r5.large=4; r5.xlarge=3; r5a.2xlarge=3; r5a.large=4; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
