Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes,Cluster
viralrecon,normal,0.2,40,0,MINMIN,581.9599999999998,0, 12, 24, 17, 14, 17, 2, 0, 0, 11, 3, 10, 30, 0, 0, 25, 0, 10, 0, 4, 12, 1, 7, 3, 0, 0, 3,{c5.2xlarge=0; c5.xlarge=12; c5a.2xlarge=24; c5a.xlarge=17; d3.2xlarge=14; d3.xlarge=17; i3.2xlarge=2; i3.large=0; i3.xlarge=0; m5.2xlarge=11; m5.large=3; m5.xlarge=10; m5a.2xlarge=30; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=25; m5zn.large=0; m5zn.xlarge=10; r5.2xlarge=0; r5.large=4; r5.xlarge=12; r5a.2xlarge=1; r5a.large=7; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=3},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.2,40,0,MAXMIN,542.9199999999998,0, 12, 21, 18, 14, 17, 2, 0, 0, 11, 4, 12, 25, 0, 2, 19, 0, 8, 0, 7, 16, 3, 8, 0, 0, 0, 7,{c5.2xlarge=0; c5.xlarge=12; c5a.2xlarge=21; c5a.xlarge=18; d3.2xlarge=14; d3.xlarge=17; i3.2xlarge=2; i3.large=0; i3.xlarge=0; m5.2xlarge=11; m5.large=4; m5.xlarge=12; m5a.2xlarge=25; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=19; m5zn.large=0; m5zn.xlarge=8; r5.2xlarge=0; r5.large=7; r5.xlarge=16; r5a.2xlarge=3; r5a.large=8; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=7},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.2,40,0,MCT,588.1699999999998,0, 16, 26, 13, 16, 16, 4, 0, 0, 7, 4, 7, 32, 0, 1, 19, 0, 10, 0, 2, 16, 0, 9, 3, 0, 0, 4,{c5.2xlarge=0; c5.xlarge=16; c5a.2xlarge=26; c5a.xlarge=13; d3.2xlarge=16; d3.xlarge=16; i3.2xlarge=4; i3.large=0; i3.xlarge=0; m5.2xlarge=7; m5.large=4; m5.xlarge=7; m5a.2xlarge=32; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=19; m5zn.large=0; m5zn.xlarge=10; r5.2xlarge=0; r5.large=2; r5.xlarge=16; r5a.2xlarge=0; r5a.large=9; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=4},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.2,40,0,ROUNDROBIN,582.9799999999997,0, 10, 18, 12, 15, 6, 2, 0, 0, 6, 2, 1, 26, 0, 4, 61, 0, 0, 0, 2, 12, 2, 21, 5, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=10; c5a.2xlarge=18; c5a.xlarge=12; d3.2xlarge=15; d3.xlarge=6; i3.2xlarge=2; i3.large=0; i3.xlarge=0; m5.2xlarge=6; m5.large=2; m5.xlarge=1; m5a.2xlarge=26; m5a.large=0; m5a.xlarge=4; m5zn.2xlarge=61; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=2; r5.xlarge=12; r5a.2xlarge=2; r5a.large=21; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.2,40,0,STATIC,534.8299999999999,0, 11, 19, 13, 5, 19, 1, 0, 0, 7, 1, 7, 10, 0, 0, 72, 0, 9, 0, 3, 14, 0, 2, 1, 0, 0, 12,{c5.2xlarge=0; c5.xlarge=11; c5a.2xlarge=19; c5a.xlarge=13; d3.2xlarge=5; d3.xlarge=19; i3.2xlarge=1; i3.large=0; i3.xlarge=0; m5.2xlarge=7; m5.large=1; m5.xlarge=7; m5a.2xlarge=10; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=72; m5zn.large=0; m5zn.xlarge=9; r5.2xlarge=0; r5.large=3; r5.xlarge=14; r5a.2xlarge=0; r5a.large=2; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=12},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.2,40,0,NOML,331.7699999999999,0, 15, 18, 10, 8, 11, 7, 3, 0, 9, 9, 6, 13, 0, 5, 20, 0, 8, 0, 7, 10, 8, 12, 10, 0, 0, 16,{c5.2xlarge=0; c5.xlarge=15; c5a.2xlarge=18; c5a.xlarge=10; d3.2xlarge=8; d3.xlarge=11; i3.2xlarge=7; i3.large=3; i3.xlarge=0; m5.2xlarge=9; m5.large=9; m5.xlarge=6; m5a.2xlarge=13; m5a.large=0; m5a.xlarge=5; m5zn.2xlarge=20; m5zn.large=0; m5zn.xlarge=8; r5.2xlarge=0; r5.large=7; r5.xlarge=10; r5a.2xlarge=8; r5a.large=12; r5a.xlarge=10; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=16},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.2,40,0,CUSTOMCLUSTERNOML,337.59999999999997,0, 16, 19, 10, 26, 10, 8, 8, 0, 11, 10, 7, 6, 0, 11, 20, 0, 6, 0, 9, 7, 4, 6, 5, 0, 0, 6,{c5.2xlarge=0; c5.xlarge=16; c5a.2xlarge=19; c5a.xlarge=10; d3.2xlarge=26; d3.xlarge=10; i3.2xlarge=8; i3.large=8; i3.xlarge=0; m5.2xlarge=11; m5.large=10; m5.xlarge=7; m5a.2xlarge=6; m5a.large=0; m5a.xlarge=11; m5zn.2xlarge=20; m5zn.large=0; m5zn.xlarge=6; r5.2xlarge=0; r5.large=9; r5.xlarge=7; r5a.2xlarge=4; r5a.large=6; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=6},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.2,40,0,TEXTDISTANCE,543.1699999999998,0, 10, 7, 11, 4, 12, 9, 7, 0, 16, 14, 13, 5, 0, 6, 13, 0, 14, 0, 14, 14, 12, 11, 7, 0, 0, 6,{c5.2xlarge=0; c5.xlarge=10; c5a.2xlarge=7; c5a.xlarge=11; d3.2xlarge=4; d3.xlarge=12; i3.2xlarge=9; i3.large=7; i3.xlarge=0; m5.2xlarge=16; m5.large=14; m5.xlarge=13; m5a.2xlarge=5; m5a.large=0; m5a.xlarge=6; m5zn.2xlarge=13; m5zn.large=0; m5zn.xlarge=14; r5.2xlarge=0; r5.large=14; r5.xlarge=14; r5a.2xlarge=12; r5a.large=11; r5a.xlarge=7; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=6},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.2,40,0,CRITICALPATH,335.47999999999985,0, 18, 22, 15, 12, 8, 6, 8, 0, 7, 10, 13, 3, 0, 5, 23, 0, 5, 0, 7, 10, 3, 10, 9, 0, 0, 12,{c5.2xlarge=0; c5.xlarge=18; c5a.2xlarge=22; c5a.xlarge=15; d3.2xlarge=12; d3.xlarge=8; i3.2xlarge=6; i3.large=8; i3.xlarge=0; m5.2xlarge=7; m5.large=10; m5.xlarge=13; m5a.2xlarge=3; m5a.large=0; m5a.xlarge=5; m5zn.2xlarge=23; m5zn.large=0; m5zn.xlarge=5; r5.2xlarge=0; r5.large=7; r5.xlarge=10; r5a.2xlarge=3; r5a.large=10; r5a.xlarge=9; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=12},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.2,40,0,CRITICALPATHREVERSE,450.87999999999994,0, 14, 17, 16, 14, 12, 3, 9, 0, 15, 9, 10, 9, 0, 11, 27, 0, 7, 0, 7, 6, 5, 7, 4, 0, 0, 4,{c5.2xlarge=0; c5.xlarge=14; c5a.2xlarge=17; c5a.xlarge=16; d3.2xlarge=14; d3.xlarge=12; i3.2xlarge=3; i3.large=9; i3.xlarge=0; m5.2xlarge=15; m5.large=9; m5.xlarge=10; m5a.2xlarge=9; m5a.large=0; m5a.xlarge=11; m5zn.2xlarge=27; m5zn.large=0; m5zn.xlarge=7; r5.2xlarge=0; r5.large=7; r5.xlarge=6; r5a.2xlarge=5; r5a.large=7; r5a.xlarge=4; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=4},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.2,40,0,RESHIV2,446.1199999999999,0, 14, 23, 16, 11, 11, 6, 8, 0, 10, 6, 5, 6, 0, 11, 19, 0, 7, 0, 10, 10, 8, 7, 8, 0, 0, 10,{c5.2xlarge=0; c5.xlarge=14; c5a.2xlarge=23; c5a.xlarge=16; d3.2xlarge=11; d3.xlarge=11; i3.2xlarge=6; i3.large=8; i3.xlarge=0; m5.2xlarge=10; m5.large=6; m5.xlarge=5; m5a.2xlarge=6; m5a.large=0; m5a.xlarge=11; m5zn.2xlarge=19; m5zn.large=0; m5zn.xlarge=7; r5.2xlarge=0; r5.large=10; r5.xlarge=10; r5a.2xlarge=8; r5a.large=7; r5a.xlarge=8; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=10},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
