Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes,Cluster
methylseq,exponential,0.05,40,0,MINMIN,1600.0099999999977,0, 51, 84, 56, 77, 56, 27, 23, 0, 52, 24, 75, 43, 0, 44, 85, 0, 29, 0, 23, 46, 68, 68, 40, 0, 0, 29,{c5.2xlarge=0; c5.xlarge=51; c5a.2xlarge=84; c5a.xlarge=56; d3.2xlarge=77; d3.xlarge=56; i3.2xlarge=27; i3.large=23; i3.xlarge=0; m5.2xlarge=52; m5.large=24; m5.xlarge=75; m5a.2xlarge=43; m5a.large=0; m5a.xlarge=44; m5zn.2xlarge=85; m5zn.large=0; m5zn.xlarge=29; r5.2xlarge=0; r5.large=23; r5.xlarge=46; r5a.2xlarge=68; r5a.large=68; r5a.xlarge=40; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=29},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.05,40,0,MAXMIN,1606.6899999999973,0, 48, 83, 58, 79, 51, 24, 23, 0, 54, 23, 74, 49, 0, 45, 89, 0, 28, 0, 23, 48, 67, 59, 48, 0, 0, 27,{c5.2xlarge=0; c5.xlarge=48; c5a.2xlarge=83; c5a.xlarge=58; d3.2xlarge=79; d3.xlarge=51; i3.2xlarge=24; i3.large=23; i3.xlarge=0; m5.2xlarge=54; m5.large=23; m5.xlarge=74; m5a.2xlarge=49; m5a.large=0; m5a.xlarge=45; m5zn.2xlarge=89; m5zn.large=0; m5zn.xlarge=28; r5.2xlarge=0; r5.large=23; r5.xlarge=48; r5a.2xlarge=67; r5a.large=59; r5a.xlarge=48; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=27},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.05,40,0,MCT,1605.5199999999977,0, 49, 81, 57, 81, 53, 28, 25, 0, 49, 21, 71, 41, 0, 45, 88, 0, 29, 0, 22, 48, 76, 71, 41, 0, 0, 24,{c5.2xlarge=0; c5.xlarge=49; c5a.2xlarge=81; c5a.xlarge=57; d3.2xlarge=81; d3.xlarge=53; i3.2xlarge=28; i3.large=25; i3.xlarge=0; m5.2xlarge=49; m5.large=21; m5.xlarge=71; m5a.2xlarge=41; m5a.large=0; m5a.xlarge=45; m5zn.2xlarge=88; m5zn.large=0; m5zn.xlarge=29; r5.2xlarge=0; r5.large=22; r5.xlarge=48; r5a.2xlarge=76; r5a.large=71; r5a.xlarge=41; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=24},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.05,40,0,ROUNDROBIN,1605.7699999999973,0, 53, 84, 52, 76, 51, 22, 21, 0, 49, 24, 78, 45, 0, 47, 88, 0, 27, 0, 24, 51, 71, 70, 42, 0, 0, 25,{c5.2xlarge=0; c5.xlarge=53; c5a.2xlarge=84; c5a.xlarge=52; d3.2xlarge=76; d3.xlarge=51; i3.2xlarge=22; i3.large=21; i3.xlarge=0; m5.2xlarge=49; m5.large=24; m5.xlarge=78; m5a.2xlarge=45; m5a.large=0; m5a.xlarge=47; m5zn.2xlarge=88; m5zn.large=0; m5zn.xlarge=27; r5.2xlarge=0; r5.large=24; r5.xlarge=51; r5a.2xlarge=71; r5a.large=70; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=25},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.05,40,0,STATIC,1642.2199999999964,0, 52, 86, 55, 75, 49, 24, 24, 0, 53, 22, 74, 43, 0, 44, 95, 0, 29, 0, 23, 49, 64, 68, 43, 0, 0, 28,{c5.2xlarge=0; c5.xlarge=52; c5a.2xlarge=86; c5a.xlarge=55; d3.2xlarge=75; d3.xlarge=49; i3.2xlarge=24; i3.large=24; i3.xlarge=0; m5.2xlarge=53; m5.large=22; m5.xlarge=74; m5a.2xlarge=43; m5a.large=0; m5a.xlarge=44; m5zn.2xlarge=95; m5zn.large=0; m5zn.xlarge=29; r5.2xlarge=0; r5.large=23; r5.xlarge=49; r5a.2xlarge=64; r5a.large=68; r5a.xlarge=43; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=28},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.05,40,0,NOML,1612.299999999998,0, 54, 85, 55, 76, 51, 30, 19, 0, 46, 25, 72, 44, 0, 49, 85, 0, 30, 0, 23, 50, 67, 63, 46, 0, 0, 30,{c5.2xlarge=0; c5.xlarge=54; c5a.2xlarge=85; c5a.xlarge=55; d3.2xlarge=76; d3.xlarge=51; i3.2xlarge=30; i3.large=19; i3.xlarge=0; m5.2xlarge=46; m5.large=25; m5.xlarge=72; m5a.2xlarge=44; m5a.large=0; m5a.xlarge=49; m5zn.2xlarge=85; m5zn.large=0; m5zn.xlarge=30; r5.2xlarge=0; r5.large=23; r5.xlarge=50; r5a.2xlarge=67; r5a.large=63; r5a.xlarge=46; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=30},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.05,40,0,CUSTOMCLUSTERNOML,1600.3999999999978,0, 54, 83, 57, 81, 48, 22, 22, 0, 52, 24, 79, 47, 0, 47, 85, 0, 31, 0, 21, 51, 66, 61, 43, 0, 0, 26,{c5.2xlarge=0; c5.xlarge=54; c5a.2xlarge=83; c5a.xlarge=57; d3.2xlarge=81; d3.xlarge=48; i3.2xlarge=22; i3.large=22; i3.xlarge=0; m5.2xlarge=52; m5.large=24; m5.xlarge=79; m5a.2xlarge=47; m5a.large=0; m5a.xlarge=47; m5zn.2xlarge=85; m5zn.large=0; m5zn.xlarge=31; r5.2xlarge=0; r5.large=21; r5.xlarge=51; r5a.2xlarge=66; r5a.large=61; r5a.xlarge=43; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=26},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.05,40,0,TEXTDISTANCE,1605.5599999999974,0, 53, 78, 57, 70, 54, 24, 23, 0, 53, 23, 73, 48, 0, 51, 90, 0, 29, 0, 24, 49, 70, 62, 42, 0, 0, 27,{c5.2xlarge=0; c5.xlarge=53; c5a.2xlarge=78; c5a.xlarge=57; d3.2xlarge=70; d3.xlarge=54; i3.2xlarge=24; i3.large=23; i3.xlarge=0; m5.2xlarge=53; m5.large=23; m5.xlarge=73; m5a.2xlarge=48; m5a.large=0; m5a.xlarge=51; m5zn.2xlarge=90; m5zn.large=0; m5zn.xlarge=29; r5.2xlarge=0; r5.large=24; r5.xlarge=49; r5a.2xlarge=70; r5a.large=62; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=27},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.05,40,0,CRITICALPATH,1603.0799999999977,0, 53, 79, 55, 73, 48, 23, 23, 0, 50, 24, 77, 45, 0, 46, 87, 0, 32, 0, 24, 53, 67, 69, 44, 0, 0, 28,{c5.2xlarge=0; c5.xlarge=53; c5a.2xlarge=79; c5a.xlarge=55; d3.2xlarge=73; d3.xlarge=48; i3.2xlarge=23; i3.large=23; i3.xlarge=0; m5.2xlarge=50; m5.large=24; m5.xlarge=77; m5a.2xlarge=45; m5a.large=0; m5a.xlarge=46; m5zn.2xlarge=87; m5zn.large=0; m5zn.xlarge=32; r5.2xlarge=0; r5.large=24; r5.xlarge=53; r5a.2xlarge=67; r5a.large=69; r5a.xlarge=44; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=28},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.05,40,0,CRITICALPATHREVERSE,1602.7499999999975,0, 50, 78, 55, 78, 51, 23, 24, 0, 52, 21, 74, 46, 0, 48, 89, 0, 32, 0, 21, 54, 68, 65, 42, 0, 0, 29,{c5.2xlarge=0; c5.xlarge=50; c5a.2xlarge=78; c5a.xlarge=55; d3.2xlarge=78; d3.xlarge=51; i3.2xlarge=23; i3.large=24; i3.xlarge=0; m5.2xlarge=52; m5.large=21; m5.xlarge=74; m5a.2xlarge=46; m5a.large=0; m5a.xlarge=48; m5zn.2xlarge=89; m5zn.large=0; m5zn.xlarge=32; r5.2xlarge=0; r5.large=21; r5.xlarge=54; r5a.2xlarge=68; r5a.large=65; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=29},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,exponential,0.05,40,0,RESHIV2,1602.8199999999974,0, 50, 81, 56, 75, 49, 23, 20, 0, 50, 24, 74, 49, 0, 45, 87, 0, 31, 0, 24, 50, 73, 70, 42, 0, 0, 27,{c5.2xlarge=0; c5.xlarge=50; c5a.2xlarge=81; c5a.xlarge=56; d3.2xlarge=75; d3.xlarge=49; i3.2xlarge=23; i3.large=20; i3.xlarge=0; m5.2xlarge=50; m5.large=24; m5.xlarge=74; m5a.2xlarge=49; m5a.large=0; m5a.xlarge=45; m5zn.2xlarge=87; m5zn.large=0; m5zn.xlarge=31; r5.2xlarge=0; r5.large=24; r5.xlarge=50; r5a.2xlarge=73; r5a.large=70; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=27},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
