Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes,Cluster
chipseq,normal,0.05,40,0,MINMIN,2780.8599999999947,0, 63, 88, 61, 73, 59, 18, 19, 0, 52, 24, 79, 40, 0, 36, 84, 0, 30, 0, 29, 57, 44, 76, 39, 0, 0, 29,{c5.2xlarge=0; c5.xlarge=63; c5a.2xlarge=88; c5a.xlarge=61; d3.2xlarge=73; d3.xlarge=59; i3.2xlarge=18; i3.large=19; i3.xlarge=0; m5.2xlarge=52; m5.large=24; m5.xlarge=79; m5a.2xlarge=40; m5a.large=0; m5a.xlarge=36; m5zn.2xlarge=84; m5zn.large=0; m5zn.xlarge=30; r5.2xlarge=0; r5.large=29; r5.xlarge=57; r5a.2xlarge=44; r5a.large=76; r5a.xlarge=39; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=29},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.05,40,0,MAXMIN,2762.7599999999957,0, 55, 94, 57, 83, 57, 21, 21, 0, 50, 29, 72, 36, 0, 44, 83, 0, 29, 0, 26, 54, 49, 71, 42, 0, 0, 27,{c5.2xlarge=0; c5.xlarge=55; c5a.2xlarge=94; c5a.xlarge=57; d3.2xlarge=83; d3.xlarge=57; i3.2xlarge=21; i3.large=21; i3.xlarge=0; m5.2xlarge=50; m5.large=29; m5.xlarge=72; m5a.2xlarge=36; m5a.large=0; m5a.xlarge=44; m5zn.2xlarge=83; m5zn.large=0; m5zn.xlarge=29; r5.2xlarge=0; r5.large=26; r5.xlarge=54; r5a.2xlarge=49; r5a.large=71; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=27},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.05,40,0,MCT,2763.9999999999945,0, 57, 78, 58, 73, 63, 18, 23, 0, 48, 26, 82, 38, 0, 40, 91, 0, 30, 0, 23, 56, 56, 71, 41, 0, 0, 28,{c5.2xlarge=0; c5.xlarge=57; c5a.2xlarge=78; c5a.xlarge=58; d3.2xlarge=73; d3.xlarge=63; i3.2xlarge=18; i3.large=23; i3.xlarge=0; m5.2xlarge=48; m5.large=26; m5.xlarge=82; m5a.2xlarge=38; m5a.large=0; m5a.xlarge=40; m5zn.2xlarge=91; m5zn.large=0; m5zn.xlarge=30; r5.2xlarge=0; r5.large=23; r5.xlarge=56; r5a.2xlarge=56; r5a.large=71; r5a.xlarge=41; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=28},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.05,40,0,ROUNDROBIN,3103.689999999995,0, 50, 92, 68, 87, 56, 34, 13, 0, 36, 34, 32, 68, 0, 39, 82, 0, 18, 0, 34, 50, 62, 102, 42, 0, 0, 1,{c5.2xlarge=0; c5.xlarge=50; c5a.2xlarge=92; c5a.xlarge=68; d3.2xlarge=87; d3.xlarge=56; i3.2xlarge=34; i3.large=13; i3.xlarge=0; m5.2xlarge=36; m5.large=34; m5.xlarge=32; m5a.2xlarge=68; m5a.large=0; m5a.xlarge=39; m5zn.2xlarge=82; m5zn.large=0; m5zn.xlarge=18; r5.2xlarge=0; r5.large=34; r5.xlarge=50; r5a.2xlarge=62; r5a.large=102; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.05,40,0,STATIC,2787.6799999999944,0, 54, 85, 55, 78, 56, 17, 25, 0, 55, 28, 81, 39, 0, 43, 90, 0, 27, 0, 24, 53, 52, 72, 38, 0, 0, 28,{c5.2xlarge=0; c5.xlarge=54; c5a.2xlarge=85; c5a.xlarge=55; d3.2xlarge=78; d3.xlarge=56; i3.2xlarge=17; i3.large=25; i3.xlarge=0; m5.2xlarge=55; m5.large=28; m5.xlarge=81; m5a.2xlarge=39; m5a.large=0; m5a.xlarge=43; m5zn.2xlarge=90; m5zn.large=0; m5zn.xlarge=27; r5.2xlarge=0; r5.large=24; r5.xlarge=53; r5a.2xlarge=52; r5a.large=72; r5a.xlarge=38; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=28},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.05,40,0,NOML,3099.9599999999937,0, 62, 85, 62, 51, 41, 18, 20, 0, 45, 31, 74, 46, 0, 47, 80, 0, 32, 0, 31, 58, 66, 70, 49, 0, 0, 32,{c5.2xlarge=0; c5.xlarge=62; c5a.2xlarge=85; c5a.xlarge=62; d3.2xlarge=51; d3.xlarge=41; i3.2xlarge=18; i3.large=20; i3.xlarge=0; m5.2xlarge=45; m5.large=31; m5.xlarge=74; m5a.2xlarge=46; m5a.large=0; m5a.xlarge=47; m5zn.2xlarge=80; m5zn.large=0; m5zn.xlarge=32; r5.2xlarge=0; r5.large=31; r5.xlarge=58; r5a.2xlarge=66; r5a.large=70; r5a.xlarge=49; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=32},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.05,40,0,CUSTOMCLUSTERNOML,2827.5699999999943,0, 59, 82, 50, 76, 55, 31, 23, 0, 46, 29, 79, 41, 0, 40, 86, 0, 29, 0, 26, 60, 53, 56, 47, 0, 0, 32,{c5.2xlarge=0; c5.xlarge=59; c5a.2xlarge=82; c5a.xlarge=50; d3.2xlarge=76; d3.xlarge=55; i3.2xlarge=31; i3.large=23; i3.xlarge=0; m5.2xlarge=46; m5.large=29; m5.xlarge=79; m5a.2xlarge=41; m5a.large=0; m5a.xlarge=40; m5zn.2xlarge=86; m5zn.large=0; m5zn.xlarge=29; r5.2xlarge=0; r5.large=26; r5.xlarge=60; r5a.2xlarge=53; r5a.large=56; r5a.xlarge=47; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=32},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.05,40,0,TEXTDISTANCE,2840.0199999999945,0, 59, 68, 46, 63, 49, 23, 32, 0, 61, 34, 70, 49, 0, 49, 83, 0, 28, 0, 28, 49, 71, 66, 43, 0, 0, 29,{c5.2xlarge=0; c5.xlarge=59; c5a.2xlarge=68; c5a.xlarge=46; d3.2xlarge=63; d3.xlarge=49; i3.2xlarge=23; i3.large=32; i3.xlarge=0; m5.2xlarge=61; m5.large=34; m5.xlarge=70; m5a.2xlarge=49; m5a.large=0; m5a.xlarge=49; m5zn.2xlarge=83; m5zn.large=0; m5zn.xlarge=28; r5.2xlarge=0; r5.large=28; r5.xlarge=49; r5a.2xlarge=71; r5a.large=66; r5a.xlarge=43; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=29},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.05,40,0,CRITICALPATH,2762.079999999995,0, 61, 76, 55, 67, 63, 26, 28, 0, 55, 32, 66, 37, 0, 45, 81, 0, 35, 0, 29, 60, 52, 64, 34, 0, 0, 34,{c5.2xlarge=0; c5.xlarge=61; c5a.2xlarge=76; c5a.xlarge=55; d3.2xlarge=67; d3.xlarge=63; i3.2xlarge=26; i3.large=28; i3.xlarge=0; m5.2xlarge=55; m5.large=32; m5.xlarge=66; m5a.2xlarge=37; m5a.large=0; m5a.xlarge=45; m5zn.2xlarge=81; m5zn.large=0; m5zn.xlarge=35; r5.2xlarge=0; r5.large=29; r5.xlarge=60; r5a.2xlarge=52; r5a.large=64; r5a.xlarge=34; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=34},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.05,40,0,CRITICALPATHREVERSE,2762.1799999999953,0, 59, 87, 57, 77, 58, 21, 29, 0, 50, 32, 75, 38, 0, 41, 73, 0, 32, 0, 32, 61, 37, 65, 44, 0, 0, 32,{c5.2xlarge=0; c5.xlarge=59; c5a.2xlarge=87; c5a.xlarge=57; d3.2xlarge=77; d3.xlarge=58; i3.2xlarge=21; i3.large=29; i3.xlarge=0; m5.2xlarge=50; m5.large=32; m5.xlarge=75; m5a.2xlarge=38; m5a.large=0; m5a.xlarge=41; m5zn.2xlarge=73; m5zn.large=0; m5zn.xlarge=32; r5.2xlarge=0; r5.large=32; r5.xlarge=61; r5a.2xlarge=37; r5a.large=65; r5a.xlarge=44; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=32},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,normal,0.05,40,0,RESHIV2,2764.1999999999957,0, 61, 83, 58, 73, 63, 24, 28, 0, 53, 32, 69, 33, 0, 50, 74, 0, 32, 0, 29, 58, 41, 61, 45, 0, 0, 33,{c5.2xlarge=0; c5.xlarge=61; c5a.2xlarge=83; c5a.xlarge=58; d3.2xlarge=73; d3.xlarge=63; i3.2xlarge=24; i3.large=28; i3.xlarge=0; m5.2xlarge=53; m5.large=32; m5.xlarge=69; m5a.2xlarge=33; m5a.large=0; m5a.xlarge=50; m5zn.2xlarge=74; m5zn.large=0; m5zn.xlarge=32; r5.2xlarge=0; r5.large=29; r5.xlarge=58; r5a.2xlarge=41; r5a.large=61; r5a.xlarge=45; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=33},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
