Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes,Cluster
methylseq,normal,0.1,40,0,MINMIN,1604.3499999999976,0, 48, 86, 54, 75, 50, 27, 22, 0, 54, 23, 77, 50, 0, 53, 86, 0, 27, 0, 22, 48, 64, 64, 43, 0, 0, 27,{c5.2xlarge=0; c5.xlarge=48; c5a.2xlarge=86; c5a.xlarge=54; d3.2xlarge=75; d3.xlarge=50; i3.2xlarge=27; i3.large=22; i3.xlarge=0; m5.2xlarge=54; m5.large=23; m5.xlarge=77; m5a.2xlarge=50; m5a.large=0; m5a.xlarge=53; m5zn.2xlarge=86; m5zn.large=0; m5zn.xlarge=27; r5.2xlarge=0; r5.large=22; r5.xlarge=48; r5a.2xlarge=64; r5a.large=64; r5a.xlarge=43; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=27},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,normal,0.1,40,0,MAXMIN,1602.859999999998,0, 50, 77, 59, 74, 53, 24, 22, 0, 52, 23, 74, 46, 0, 49, 85, 0, 31, 0, 22, 55, 65, 67, 47, 0, 0, 25,{c5.2xlarge=0; c5.xlarge=50; c5a.2xlarge=77; c5a.xlarge=59; d3.2xlarge=74; d3.xlarge=53; i3.2xlarge=24; i3.large=22; i3.xlarge=0; m5.2xlarge=52; m5.large=23; m5.xlarge=74; m5a.2xlarge=46; m5a.large=0; m5a.xlarge=49; m5zn.2xlarge=85; m5zn.large=0; m5zn.xlarge=31; r5.2xlarge=0; r5.large=22; r5.xlarge=55; r5a.2xlarge=65; r5a.large=67; r5a.xlarge=47; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=25},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,normal,0.1,40,0,MCT,1600.2499999999977,0, 53, 82, 52, 77, 49, 25, 24, 0, 51, 25, 73, 47, 0, 47, 85, 0, 29, 0, 22, 48, 70, 71, 42, 0, 0, 28,{c5.2xlarge=0; c5.xlarge=53; c5a.2xlarge=82; c5a.xlarge=52; d3.2xlarge=77; d3.xlarge=49; i3.2xlarge=25; i3.large=24; i3.xlarge=0; m5.2xlarge=51; m5.large=25; m5.xlarge=73; m5a.2xlarge=47; m5a.large=0; m5a.xlarge=47; m5zn.2xlarge=85; m5zn.large=0; m5zn.xlarge=29; r5.2xlarge=0; r5.large=22; r5.xlarge=48; r5a.2xlarge=70; r5a.large=71; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=28},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,normal,0.1,40,0,ROUNDROBIN,1605.7699999999973,0, 53, 84, 52, 76, 51, 22, 21, 0, 49, 24, 78, 45, 0, 47, 88, 0, 27, 0, 24, 51, 71, 70, 42, 0, 0, 25,{c5.2xlarge=0; c5.xlarge=53; c5a.2xlarge=84; c5a.xlarge=52; d3.2xlarge=76; d3.xlarge=51; i3.2xlarge=22; i3.large=21; i3.xlarge=0; m5.2xlarge=49; m5.large=24; m5.xlarge=78; m5a.2xlarge=45; m5a.large=0; m5a.xlarge=47; m5zn.2xlarge=88; m5zn.large=0; m5zn.xlarge=27; r5.2xlarge=0; r5.large=24; r5.xlarge=51; r5a.2xlarge=71; r5a.large=70; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=25},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,normal,0.1,40,0,STATIC,1639.4499999999969,0, 52, 82, 54, 79, 52, 22, 21, 0, 50, 27, 77, 42, 0, 42, 92, 0, 30, 0, 24, 49, 66, 66, 45, 0, 0, 28,{c5.2xlarge=0; c5.xlarge=52; c5a.2xlarge=82; c5a.xlarge=54; d3.2xlarge=79; d3.xlarge=52; i3.2xlarge=22; i3.large=21; i3.xlarge=0; m5.2xlarge=50; m5.large=27; m5.xlarge=77; m5a.2xlarge=42; m5a.large=0; m5a.xlarge=42; m5zn.2xlarge=92; m5zn.large=0; m5zn.xlarge=30; r5.2xlarge=0; r5.large=24; r5.xlarge=49; r5a.2xlarge=66; r5a.large=66; r5a.xlarge=45; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=28},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,normal,0.1,40,0,NOML,1612.429999999998,0, 56, 80, 54, 75, 53, 21, 20, 0, 51, 25, 74, 47, 0, 52, 86, 0, 31, 0, 23, 51, 65, 62, 48, 0, 0, 26,{c5.2xlarge=0; c5.xlarge=56; c5a.2xlarge=80; c5a.xlarge=54; d3.2xlarge=75; d3.xlarge=53; i3.2xlarge=21; i3.large=20; i3.xlarge=0; m5.2xlarge=51; m5.large=25; m5.xlarge=74; m5a.2xlarge=47; m5a.large=0; m5a.xlarge=52; m5zn.2xlarge=86; m5zn.large=0; m5zn.xlarge=31; r5.2xlarge=0; r5.large=23; r5.xlarge=51; r5a.2xlarge=65; r5a.large=62; r5a.xlarge=48; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=26},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,normal,0.1,40,0,CUSTOMCLUSTERNOML,1600.5799999999979,0, 52, 82, 54, 76, 52, 24, 22, 0, 48, 22, 78, 49, 0, 43, 92, 0, 27, 0, 22, 52, 72, 64, 43, 0, 0, 26,{c5.2xlarge=0; c5.xlarge=52; c5a.2xlarge=82; c5a.xlarge=54; d3.2xlarge=76; d3.xlarge=52; i3.2xlarge=24; i3.large=22; i3.xlarge=0; m5.2xlarge=48; m5.large=22; m5.xlarge=78; m5a.2xlarge=49; m5a.large=0; m5a.xlarge=43; m5zn.2xlarge=92; m5zn.large=0; m5zn.xlarge=27; r5.2xlarge=0; r5.large=22; r5.xlarge=52; r5a.2xlarge=72; r5a.large=64; r5a.xlarge=43; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=26},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,normal,0.1,40,0,TEXTDISTANCE,1605.7799999999972,0, 52, 77, 51, 75, 47, 25, 24, 0, 52, 24, 77, 46, 0, 50, 87, 0, 28, 0, 25, 49, 69, 69, 46, 0, 0, 27,{c5.2xlarge=0; c5.xlarge=52; c5a.2xlarge=77; c5a.xlarge=51; d3.2xlarge=75; d3.xlarge=47; i3.2xlarge=25; i3.large=24; i3.xlarge=0; m5.2xlarge=52; m5.large=24; m5.xlarge=77; m5a.2xlarge=46; m5a.large=0; m5a.xlarge=50; m5zn.2xlarge=87; m5zn.large=0; m5zn.xlarge=28; r5.2xlarge=0; r5.large=25; r5.xlarge=49; r5a.2xlarge=69; r5a.large=69; r5a.xlarge=46; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=27},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,normal,0.1,40,0,CRITICALPATH,1602.1599999999974,0, 51, 78, 52, 80, 50, 21, 21, 0, 56, 24, 79, 44, 0, 45, 87, 0, 30, 0, 26, 54, 67, 66, 45, 0, 0, 24,{c5.2xlarge=0; c5.xlarge=51; c5a.2xlarge=78; c5a.xlarge=52; d3.2xlarge=80; d3.xlarge=50; i3.2xlarge=21; i3.large=21; i3.xlarge=0; m5.2xlarge=56; m5.large=24; m5.xlarge=79; m5a.2xlarge=44; m5a.large=0; m5a.xlarge=45; m5zn.2xlarge=87; m5zn.large=0; m5zn.xlarge=30; r5.2xlarge=0; r5.large=26; r5.xlarge=54; r5a.2xlarge=67; r5a.large=66; r5a.xlarge=45; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=24},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,normal,0.1,40,0,CRITICALPATHREVERSE,1602.9299999999976,0, 51, 78, 51, 79, 48, 23, 23, 0, 50, 26, 76, 52, 0, 43, 89, 0, 28, 0, 23, 52, 69, 65, 46, 0, 0, 28,{c5.2xlarge=0; c5.xlarge=51; c5a.2xlarge=78; c5a.xlarge=51; d3.2xlarge=79; d3.xlarge=48; i3.2xlarge=23; i3.large=23; i3.xlarge=0; m5.2xlarge=50; m5.large=26; m5.xlarge=76; m5a.2xlarge=52; m5a.large=0; m5a.xlarge=43; m5zn.2xlarge=89; m5zn.large=0; m5zn.xlarge=28; r5.2xlarge=0; r5.large=23; r5.xlarge=52; r5a.2xlarge=69; r5a.large=65; r5a.xlarge=46; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=28},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
methylseq,normal,0.1,40,0,RESHIV2,1601.9999999999975,0, 46, 76, 53, 75, 48, 21, 21, 0, 50, 26, 79, 47, 0, 44, 90, 0, 31, 0, 26, 53, 67, 71, 47, 0, 0, 29,{c5.2xlarge=0; c5.xlarge=46; c5a.2xlarge=76; c5a.xlarge=53; d3.2xlarge=75; d3.xlarge=48; i3.2xlarge=21; i3.large=21; i3.xlarge=0; m5.2xlarge=50; m5.large=26; m5.xlarge=79; m5a.2xlarge=47; m5a.large=0; m5a.xlarge=44; m5zn.2xlarge=90; m5zn.large=0; m5zn.xlarge=31; r5.2xlarge=0; r5.large=26; r5.xlarge=53; r5a.2xlarge=67; r5a.large=71; r5a.xlarge=47; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=29},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
