Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes,Cluster
viralrecon,exponential,0.0,40,0,MINMIN,149.56999999999994,0, 8, 5, 8, 22, 22, 3, 0, 0, 10, 1, 1, 25, 0, 3, 51, 0, 0, 0, 1, 25, 4, 14, 3, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=8; c5a.2xlarge=5; c5a.xlarge=8; d3.2xlarge=22; d3.xlarge=22; i3.2xlarge=3; i3.large=0; i3.xlarge=0; m5.2xlarge=10; m5.large=1; m5.xlarge=1; m5a.2xlarge=25; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=51; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=1; r5.xlarge=25; r5a.2xlarge=4; r5a.large=14; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.0,40,0,MAXMIN,149.56999999999994,0, 19, 27, 17, 20, 10, 4, 0, 0, 29, 2, 2, 16, 0, 3, 6, 0, 0, 0, 2, 6, 6, 34, 3, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=19; c5a.2xlarge=27; c5a.xlarge=17; d3.2xlarge=20; d3.xlarge=10; i3.2xlarge=4; i3.large=0; i3.xlarge=0; m5.2xlarge=29; m5.large=2; m5.xlarge=2; m5a.2xlarge=16; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=6; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=2; r5.xlarge=6; r5a.2xlarge=6; r5a.large=34; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.0,40,0,MCT,149.56999999999994,0, 2, 12, 5, 23, 27, 4, 0, 0, 15, 2, 1, 31, 0, 3, 48, 0, 0, 0, 1, 6, 5, 16, 5, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=12; c5a.xlarge=5; d3.2xlarge=23; d3.xlarge=27; i3.2xlarge=4; i3.large=0; i3.xlarge=0; m5.2xlarge=15; m5.large=2; m5.xlarge=1; m5a.2xlarge=31; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=48; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=1; r5.xlarge=6; r5a.2xlarge=5; r5a.large=16; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.0,40,0,ROUNDROBIN,149.56999999999994,0, 2, 12, 5, 23, 25, 4, 0, 0, 15, 2, 1, 31, 0, 3, 50, 0, 0, 0, 1, 6, 5, 16, 5, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=12; c5a.xlarge=5; d3.2xlarge=23; d3.xlarge=25; i3.2xlarge=4; i3.large=0; i3.xlarge=0; m5.2xlarge=15; m5.large=2; m5.xlarge=1; m5a.2xlarge=31; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=50; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=1; r5.xlarge=6; r5a.2xlarge=5; r5a.large=16; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.0,40,0,STATIC,149.56999999999996,0, 5, 13, 9, 17, 8, 1, 0, 0, 67, 1, 2, 12, 0, 1, 8, 0, 0, 0, 1, 14, 4, 41, 1, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=5; c5a.2xlarge=13; c5a.xlarge=9; d3.2xlarge=17; d3.xlarge=8; i3.2xlarge=1; i3.large=0; i3.xlarge=0; m5.2xlarge=67; m5.large=1; m5.xlarge=2; m5a.2xlarge=12; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=8; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=1; r5.xlarge=14; r5a.2xlarge=4; r5a.large=41; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.0,40,0,NOML,149.56999999999994,0, 8, 9, 13, 11, 15, 8, 8, 0, 12, 5, 12, 15, 0, 14, 12, 0, 5, 0, 5, 9, 14, 14, 8, 0, 0, 9,{c5.2xlarge=0; c5.xlarge=8; c5a.2xlarge=9; c5a.xlarge=13; d3.2xlarge=11; d3.xlarge=15; i3.2xlarge=8; i3.large=8; i3.xlarge=0; m5.2xlarge=12; m5.large=5; m5.xlarge=12; m5a.2xlarge=15; m5a.large=0; m5a.xlarge=14; m5zn.2xlarge=12; m5zn.large=0; m5zn.xlarge=5; r5.2xlarge=0; r5.large=5; r5.xlarge=9; r5a.2xlarge=14; r5a.large=14; r5a.xlarge=8; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=9},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.0,40,0,CUSTOMCLUSTERNOML,149.56999999999994,0, 9, 12, 12, 19, 14, 3, 10, 0, 17, 5, 9, 11, 0, 8, 14, 0, 10, 0, 6, 13, 5, 7, 9, 0, 0, 13,{c5.2xlarge=0; c5.xlarge=9; c5a.2xlarge=12; c5a.xlarge=12; d3.2xlarge=19; d3.xlarge=14; i3.2xlarge=3; i3.large=10; i3.xlarge=0; m5.2xlarge=17; m5.large=5; m5.xlarge=9; m5a.2xlarge=11; m5a.large=0; m5a.xlarge=8; m5zn.2xlarge=14; m5zn.large=0; m5zn.xlarge=10; r5.2xlarge=0; r5.large=6; r5.xlarge=13; r5a.2xlarge=5; r5a.large=7; r5a.xlarge=9; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=13},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.0,40,0,TEXTDISTANCE,149.56999999999994,0, 13, 9, 5, 12, 9, 7, 7, 0, 15, 14, 5, 12, 0, 14, 10, 0, 9, 0, 6, 15, 12, 15, 6, 0, 0, 11,{c5.2xlarge=0; c5.xlarge=13; c5a.2xlarge=9; c5a.xlarge=5; d3.2xlarge=12; d3.xlarge=9; i3.2xlarge=7; i3.large=7; i3.xlarge=0; m5.2xlarge=15; m5.large=14; m5.xlarge=5; m5a.2xlarge=12; m5a.large=0; m5a.xlarge=14; m5zn.2xlarge=10; m5zn.large=0; m5zn.xlarge=9; r5.2xlarge=0; r5.large=6; r5.xlarge=15; r5a.2xlarge=12; r5a.large=15; r5a.xlarge=6; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=11},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.0,40,0,CRITICALPATH,149.56999999999994,0, 14, 18, 11, 8, 11, 6, 13, 0, 12, 6, 9, 17, 0, 12, 12, 0, 8, 0, 6, 8, 11, 5, 11, 0, 0, 8,{c5.2xlarge=0; c5.xlarge=14; c5a.2xlarge=18; c5a.xlarge=11; d3.2xlarge=8; d3.xlarge=11; i3.2xlarge=6; i3.large=13; i3.xlarge=0; m5.2xlarge=12; m5.large=6; m5.xlarge=9; m5a.2xlarge=17; m5a.large=0; m5a.xlarge=12; m5zn.2xlarge=12; m5zn.large=0; m5zn.xlarge=8; r5.2xlarge=0; r5.large=6; r5.xlarge=8; r5a.2xlarge=11; r5a.large=5; r5a.xlarge=11; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=8},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.0,40,0,CRITICALPATHREVERSE,149.56999999999994,0, 13, 6, 17, 9, 13, 11, 5, 0, 8, 9, 15, 9, 0, 12, 18, 0, 10, 0, 3, 9, 15, 8, 9, 0, 0, 7,{c5.2xlarge=0; c5.xlarge=13; c5a.2xlarge=6; c5a.xlarge=17; d3.2xlarge=9; d3.xlarge=13; i3.2xlarge=11; i3.large=5; i3.xlarge=0; m5.2xlarge=8; m5.large=9; m5.xlarge=15; m5a.2xlarge=9; m5a.large=0; m5a.xlarge=12; m5zn.2xlarge=18; m5zn.large=0; m5zn.xlarge=10; r5.2xlarge=0; r5.large=3; r5.xlarge=9; r5a.2xlarge=15; r5a.large=8; r5a.xlarge=9; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=7},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.0,40,0,RESHIV2,149.56999999999994,0, 12, 15, 14, 13, 7, 8, 8, 0, 10, 4, 16, 11, 0, 11, 13, 0, 13, 0, 7, 12, 8, 8, 8, 0, 0, 8,{c5.2xlarge=0; c5.xlarge=12; c5a.2xlarge=15; c5a.xlarge=14; d3.2xlarge=13; d3.xlarge=7; i3.2xlarge=8; i3.large=8; i3.xlarge=0; m5.2xlarge=10; m5.large=4; m5.xlarge=16; m5a.2xlarge=11; m5a.large=0; m5a.xlarge=11; m5zn.2xlarge=13; m5zn.large=0; m5zn.xlarge=13; r5.2xlarge=0; r5.large=7; r5.xlarge=12; r5a.2xlarge=8; r5a.large=8; r5a.xlarge=8; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=8},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
