Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes,Cluster
chipseq,exponential,0.1,40,0,MINMIN,525.02,0, 7, 13, 11, 5, 3, 1, 1, 0, 3, 2, 9, 2, 0, 3, 16, 0, 5, 0, 4, 4, 2, 3, 1, 0, 0, 3,{c5.2xlarge=0; c5.xlarge=7; c5a.2xlarge=13; c5a.xlarge=11; d3.2xlarge=5; d3.xlarge=3; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=3; m5.large=2; m5.xlarge=9; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=16; m5zn.large=0; m5zn.xlarge=5; r5.2xlarge=0; r5.large=4; r5.xlarge=4; r5a.2xlarge=2; r5a.large=3; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=3},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.1,40,0,MAXMIN,547.0099999999999,0, 6, 16, 10, 6, 6, 2, 3, 0, 3, 2, 9, 2, 0, 2, 8, 0, 5, 0, 3, 6, 1, 4, 1, 0, 0, 3,{c5.2xlarge=0; c5.xlarge=6; c5a.2xlarge=16; c5a.xlarge=10; d3.2xlarge=6; d3.xlarge=6; i3.2xlarge=2; i3.large=3; i3.xlarge=0; m5.2xlarge=3; m5.large=2; m5.xlarge=9; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=8; m5zn.large=0; m5zn.xlarge=5; r5.2xlarge=0; r5.large=3; r5.xlarge=6; r5a.2xlarge=1; r5a.large=4; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=3},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.1,40,0,MCT,479.9199999999999,0, 6, 13, 9, 5, 8, 1, 1, 0, 4, 4, 9, 1, 0, 3, 15, 0, 3, 0, 2, 3, 1, 4, 2, 0, 0, 4,{c5.2xlarge=0; c5.xlarge=6; c5a.2xlarge=13; c5a.xlarge=9; d3.2xlarge=5; d3.xlarge=8; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=4; m5.large=4; m5.xlarge=9; m5a.2xlarge=1; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=15; m5zn.large=0; m5zn.xlarge=3; r5.2xlarge=0; r5.large=2; r5.xlarge=3; r5a.2xlarge=1; r5a.large=4; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=4},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.1,40,0,ROUNDROBIN,571.4099999999999,0, 5, 10, 5, 10, 8, 2, 1, 0, 6, 4, 2, 6, 0, 3, 11, 0, 1, 0, 3, 6, 4, 8, 3, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=5; c5a.2xlarge=10; c5a.xlarge=5; d3.2xlarge=10; d3.xlarge=8; i3.2xlarge=2; i3.large=1; i3.xlarge=0; m5.2xlarge=6; m5.large=4; m5.xlarge=2; m5a.2xlarge=6; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=11; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=3; r5.xlarge=6; r5a.2xlarge=4; r5a.large=8; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.1,40,0,STATIC,366.50999999999993,0, 6, 10, 5, 6, 7, 2, 3, 0, 3, 1, 5, 2, 0, 4, 19, 0, 5, 0, 1, 6, 0, 5, 4, 0, 0, 4,{c5.2xlarge=0; c5.xlarge=6; c5a.2xlarge=10; c5a.xlarge=5; d3.2xlarge=6; d3.xlarge=7; i3.2xlarge=2; i3.large=3; i3.xlarge=0; m5.2xlarge=3; m5.large=1; m5.xlarge=5; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=4; m5zn.2xlarge=19; m5zn.large=0; m5zn.xlarge=5; r5.2xlarge=0; r5.large=1; r5.xlarge=6; r5a.2xlarge=0; r5a.large=5; r5a.xlarge=4; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=4},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.1,40,0,NOML,706.4599999999999,0, 10, 12, 8, 6, 2, 2, 0, 0, 4, 1, 7, 6, 0, 5, 5, 0, 2, 0, 3, 5, 5, 6, 6, 0, 0, 3,{c5.2xlarge=0; c5.xlarge=10; c5a.2xlarge=12; c5a.xlarge=8; d3.2xlarge=6; d3.xlarge=2; i3.2xlarge=2; i3.large=0; i3.xlarge=0; m5.2xlarge=4; m5.large=1; m5.xlarge=7; m5a.2xlarge=6; m5a.large=0; m5a.xlarge=5; m5zn.2xlarge=5; m5zn.large=0; m5zn.xlarge=2; r5.2xlarge=0; r5.large=3; r5.xlarge=5; r5a.2xlarge=5; r5a.large=6; r5a.xlarge=6; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=3},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.1,40,0,CUSTOMCLUSTERNOML,558.63,0, 3, 13, 9, 9, 4, 2, 2, 0, 4, 2, 5, 3, 0, 1, 12, 0, 3, 0, 4, 6, 1, 8, 5, 0, 0, 2,{c5.2xlarge=0; c5.xlarge=3; c5a.2xlarge=13; c5a.xlarge=9; d3.2xlarge=9; d3.xlarge=4; i3.2xlarge=2; i3.large=2; i3.xlarge=0; m5.2xlarge=4; m5.large=2; m5.xlarge=5; m5a.2xlarge=3; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=12; m5zn.large=0; m5zn.xlarge=3; r5.2xlarge=0; r5.large=4; r5.xlarge=6; r5a.2xlarge=1; r5a.large=8; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=2},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.1,40,0,TEXTDISTANCE,354.1599999999999,0, 5, 12, 7, 6, 3, 1, 3, 0, 7, 4, 12, 4, 0, 3, 5, 0, 4, 0, 2, 8, 3, 5, 2, 0, 0, 2,{c5.2xlarge=0; c5.xlarge=5; c5a.2xlarge=12; c5a.xlarge=7; d3.2xlarge=6; d3.xlarge=3; i3.2xlarge=1; i3.large=3; i3.xlarge=0; m5.2xlarge=7; m5.large=4; m5.xlarge=12; m5a.2xlarge=4; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=5; m5zn.large=0; m5zn.xlarge=4; r5.2xlarge=0; r5.large=2; r5.xlarge=8; r5a.2xlarge=3; r5a.large=5; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=2},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.1,40,0,CRITICALPATH,525.02,0, 5, 13, 10, 6, 4, 3, 3, 0, 6, 1, 8, 4, 0, 3, 9, 0, 2, 0, 1, 4, 1, 7, 5, 0, 0, 3,{c5.2xlarge=0; c5.xlarge=5; c5a.2xlarge=13; c5a.xlarge=10; d3.2xlarge=6; d3.xlarge=4; i3.2xlarge=3; i3.large=3; i3.xlarge=0; m5.2xlarge=6; m5.large=1; m5.xlarge=8; m5a.2xlarge=4; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=9; m5zn.large=0; m5zn.xlarge=2; r5.2xlarge=0; r5.large=1; r5.xlarge=4; r5a.2xlarge=1; r5a.large=7; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=3},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.1,40,0,CRITICALPATHREVERSE,487.96999999999997,0, 9, 12, 12, 6, 3, 1, 1, 0, 3, 2, 6, 2, 0, 2, 14, 0, 5, 0, 2, 4, 2, 3, 4, 0, 0, 5,{c5.2xlarge=0; c5.xlarge=9; c5a.2xlarge=12; c5a.xlarge=12; d3.2xlarge=6; d3.xlarge=3; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=3; m5.large=2; m5.xlarge=6; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=14; m5zn.large=0; m5zn.xlarge=5; r5.2xlarge=0; r5.large=2; r5.xlarge=4; r5a.2xlarge=2; r5a.large=3; r5a.xlarge=4; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=5},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.1,40,0,RESHIV2,524.3,0, 4, 12, 10, 9, 5, 3, 4, 0, 4, 4, 7, 2, 0, 2, 10, 0, 5, 0, 4, 3, 2, 3, 3, 0, 0, 2,{c5.2xlarge=0; c5.xlarge=4; c5a.2xlarge=12; c5a.xlarge=10; d3.2xlarge=9; d3.xlarge=5; i3.2xlarge=3; i3.large=4; i3.xlarge=0; m5.2xlarge=4; m5.large=4; m5.xlarge=7; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=10; m5zn.large=0; m5zn.xlarge=5; r5.2xlarge=0; r5.large=4; r5.xlarge=3; r5a.2xlarge=2; r5a.large=3; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=2},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
