wfName,taskName,rank
nfcore/chipseq:1.2.2,BWA_INDEX,20
nfcore/chipseq:1.2.2,BWA_INDEX,22
nfcore/chipseq:1.2.2,BWA_INDEX,21
nfcore/chipseq:1.2.2,BWA_INDEX,19
nfcore/chipseq:1.2.2,BWA_INDEX,7
nfcore/chipseq:1.2.2,BWA_INDEX,2
nfcore/chipseq:1.2.2,BWA_INDEX,5
nfcore/chipseq:1.2.2,BWA_INDEX,9
nfcore/chipseq:1.2.2,BWA_INDEX,6
nfcore/chipseq:1.2.2,BWA_INDEX,8
nfcore/chipseq:1.2.2,BWA_INDEX,3
nfcore/chipseq:1.2.2,BWA_INDEX,1
nfcore/chipseq:1.2.2,BWA_INDEX,4
nfcore/chipseq:1.2.2,BWA_INDEX,16
nfcore/chipseq:1.2.2,BWA_INDEX,11
nfcore/chipseq:1.2.2,BWA_INDEX,15
nfcore/chipseq:1.2.2,BWA_INDEX,18
nfcore/chipseq:1.2.2,BWA_INDEX,14
nfcore/chipseq:1.2.2,BWA_INDEX,17
nfcore/chipseq:1.2.2,BWA_INDEX,12
nfcore/chipseq:1.2.2,BWA_INDEX,10
nfcore/chipseq:1.2.2,BWA_INDEX,13
nfcore/chipseq:1.2.2,BWA_INDEX,24
nfcore/chipseq:1.2.2,BWA_INDEX,23
nfcore/chipseq:1.2.2,BWA_INDEX,26
nfcore/chipseq:1.2.2,BWA_INDEX,25
nfcore/chipseq:1.2.2,BWA_INDEX,27
nfcore/chipseq:1.2.2,BWA_MEM,2
nfcore/chipseq:1.2.2,BWA_MEM,4
nfcore/chipseq:1.2.2,BWA_MEM,3
nfcore/chipseq:1.2.2,BWA_MEM,1
nfcore/chipseq:1.2.2,BWA_MEM,8
nfcore/chipseq:1.2.2,BWA_MEM,10
nfcore/chipseq:1.2.2,BWA_MEM,9
nfcore/chipseq:1.2.2,BWA_MEM,12
nfcore/chipseq:1.2.2,BWA_MEM,11
nfcore/chipseq:1.2.2,BWA_MEM,13
nfcore/chipseq:1.2.2,BWA_MEM,6
nfcore/chipseq:1.2.2,BWA_MEM,5
nfcore/chipseq:1.2.2,BWA_MEM,7
nfcore/chipseq:1.2.2,BWA_MEM,17
nfcore/chipseq:1.2.2,BWA_MEM,19
nfcore/chipseq:1.2.2,BWA_MEM,18
nfcore/chipseq:1.2.2,BWA_MEM,22
nfcore/chipseq:1.2.2,BWA_MEM,20
nfcore/chipseq:1.2.2,BWA_MEM,21
nfcore/chipseq:1.2.2,BWA_MEM,14
nfcore/chipseq:1.2.2,BWA_MEM,15
nfcore/chipseq:1.2.2,BWA_MEM,16
nfcore/chipseq:1.2.2,BWA_MEM,24
nfcore/chipseq:1.2.2,BWA_MEM,23
nfcore/chipseq:1.2.2,BWA_MEM,25
nfcore/chipseq:1.2.2,BWA_MEM,26
nfcore/chipseq:1.2.2,BWA_MEM,27
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS,3
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS,4
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS,2
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS,1
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS,11
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS,8
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS,9
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS,13
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS,10
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS,12
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS,7
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS,5
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS,6
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS,21
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS,16
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS,20
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS,22
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS,19
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS,18
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS,17
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS,14
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS,15
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS,25
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS,23
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS,27
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS,24
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS,26
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_ANNOTATE,3
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_ANNOTATE,4
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_ANNOTATE,2
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_ANNOTATE,1
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_ANNOTATE,12
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_ANNOTATE,7
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_ANNOTATE,9
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_ANNOTATE,13
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_ANNOTATE,10
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_ANNOTATE,11
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_ANNOTATE,8
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_ANNOTATE,5
nfcore/chipseq:1.2.2,CONSENSUS_PEAKS_ANNOTATE,6
