nodeConfig,build-linux-kernel1,fio2,fio3,fio4,fio5,fio6,fio7,fio8,fio9,iperf10,iperf11,iperf12,iperf13,john-the-ripper14,john-the-ripper15,ramspeed16,ramspeed17,ramspeed18,ramspeed19,ramspeed20,ramspeed21,ramspeed22,ramspeed23,ramspeed24,ramspeed25,stream26,stream27,stream28,stream29,taskName,wfName,pCpu,cpus,rss,vmem,rchar,wchar,syscr,syscw,realtime,rank
165,24,4,1,6,1,2,2,2,2,7,7,1,1,25,22,26,26,25,25,24,25,25,25,26,26,26,26,26,26,adapter_removal,nfcore/eager:2.3.5,134.8400016784668,2,14541209.6,92897280,3945996,1891273.4,8705.6,44591.1,633.8,11
166,16,18,1,6,1,2,2,2,2,9,26,1,25,15,14,13,11,13,12,11,11,13,12,12,13,12,14,12,12,adapter_removal,nfcore/eager:2.3.5,120.32999954223632,2,13480755.2,79722905.6,3946135.1,1891284.3,9081.5,44591,744.7,16
167,7,11,1,21,1,2,2,2,2,8,21,1,1,7,6,11,8,10,7,7,5,10,10,13,8,2,8,3,2,adapter_removal,nfcore/eager:2.3.5,126.13999862670899,2,13463961.6,86448128,9231584.3,1891267,8844.9,44590.8,758.5,17
168,26,4,1,6,1,2,2,2,2,23,11,1,1,26,27,19,19,19,19,18,18,19,19,19,20,20,19,19,19,adapter_removal,nfcore/eager:2.3.5,123.6,2,13108019.2,83797606.4,5003033.8,1891272.1,6786.1,44591,847.2,23
169,18,11,1,6,1,2,2,2,2,22,15,1,19,18,24,14,15,15,15,15,15,14,16,15,16,17,18,18,17,adapter_removal,nfcore/eager:2.3.5,122.57999877929687,2,39302758.4,2774096691.2,3946136.7,1891277.8,6123.4,44591,903.6,25
170,10,11,1,6,1,2,2,2,2,27,16,1,1,5,18,15,16,16,16,16,16,15,15,16,17,16,16,16,16,adapter_removal,nfcore/eager:2.3.5,125.81999969482422,2,33857536,2216556134.4,6060486.6,1891277.4,4681,44591,900.1,24
171,21,4,1,6,1,2,2,2,2,12,11,1,1,21,15,22,22,22,21,21,21,21,20,22,21,23,24,23,23,adapter_removal,nfcore/eager:2.3.5,126.24999771118163,2,12365004.8,77451673.6,6060068.3,1891275.1,12528.7,44591,479.8,2
172,11,11,1,6,1,2,2,2,2,10,18,1,17,11,7,4,3,4,4,4,4,5,5,4,4,13,10,13,13,adapter_removal,nfcore/eager:2.3.5,137.489998626709,2,13916979.2,93086105.6,5003166.6,1891279.3,11806.2,44590.7,465.9,1
173,1,18,1,21,1,2,2,2,2,14,27,1,1,1,1,9,10,9,10,9,9,8,11,7,9,4,1,4,4,adapter_removal,nfcore/eager:2.3.5,130.05,2,13515980.8,93442457.6,7117506.2,1891280.2,9824.4,44591,492.5,3
175,14,4,1,6,1,2,2,2,2,24,25,1,23,13,10,10,12,11,11,12,12,11,9,10,11,15,12,15,15,adapter_removal,nfcore/eager:2.3.5,144.19000244140625,2,11570380.8,78641561.6,6060213,1891283.5,12720.9,44590.6,553.3,9
176,4,4,1,6,1,2,2,2,2,13,17,1,15,3,3,12,13,12,13,13,14,12,13,11,12,6,3,6,6,adapter_removal,nfcore/eager:2.3.5,143.5,2,11796070.4,91974041.6,5003435.1,1891280.6,10252.4,44590.3,548.9,7
178,13,4,1,21,1,2,2,2,2,2,3,1,1,19,16,2,1,2,2,2,1,2,1,2,2,7,5,7,7,adapter_removal,nfcore/eager:2.3.5,140.12000198364257,2,10754048,63302041.6,9231335.1,1891277.2,5926.9,44590.7,511.2,4
179,3,25,1,4,1,2,2,2,2,4,4,1,1,9,8,1,2,1,1,1,2,1,2,1,1,8,4,8,8,adapter_removal,nfcore/eager:2.3.5,140.92999877929688,2,12148326.4,92519628.8,3946404.2,1891277.3,4782,44590.8,564.4,10
180,23,18,1,6,1,2,2,2,2,11,20,1,20,23,21,25,25,24,24,25,24,24,24,25,25,25,27,25,25,adapter_removal,nfcore/eager:2.3.5,133.6599983215332,2,13970227.2,93462528,3946000.2,1891274.8,8008.3,44590.4,635.5,12
181,17,18,1,21,1,2,2,2,2,15,22,1,26,16,13,16,14,14,14,14,13,16,14,14,14,11,13,11,11,adapter_removal,nfcore/eager:2.3.5,138.89000091552734,2,10722918.4,75222220.8,3946129.1,1891281.9,10464.7,44591.1,672.7,13
182,6,11,1,6,1,2,2,2,2,5,6,1,26,6,5,8,7,7,8,8,8,7,6,9,10,3,6,2,3,adapter_removal,nfcore/eager:2.3.5,122.14000015258789,2,28286566.4,1509073715.2,7117512.5,1891274.5,9184.6,44591,787.4,18
183,25,25,1,27,1,2,2,2,2,20,14,1,16,24,26,20,20,20,20,20,19,20,21,20,19,21,22,21,21,adapter_removal,nfcore/eager:2.3.5,129.37000045776367,2,13787545.6,86019276.8,5003033.1,1891271.8,8294.5,44591,798.6,19
184,20,18,1,21,1,2,2,2,2,17,7,1,1,17,23,21,21,21,22,22,22,22,23,21,22,19,21,20,20,adapter_removal,nfcore/eager:2.3.5,131.3299987792969,2,27167129.6,1437907353.6,5003173.9,1891279.9,6764.7,44591.2,829.4,21
185,9,11,1,6,1,2,2,2,2,19,7,1,1,8,19,17,17,17,17,17,17,17,17,17,18,22,23,22,22,adapter_removal,nfcore/eager:2.3.5,127.75000228881837,2,40269824,2924555878.4,5003443.2,1891284.7,4764.6,44590.7,905.5,26
186,15,4,1,4,1,2,2,2,2,25,24,1,24,14,11,5,6,5,5,6,7,4,4,5,5,10,15,10,10,adapter_removal,nfcore/eager:2.3.5,130.12999954223633,2,14195507.2,94262067.2,8174294.3,1891279.4,10431.8,44590.9,708.3,15
187,5,25,1,6,1,2,2,2,2,18,2,1,22,4,4,3,4,3,3,3,3,3,3,3,3,1,7,1,1,adapter_removal,nfcore/eager:2.3.5,125.50000228881837,2,11993088,84131430.4,5003446.7,1891281.3,8506.5,44591.1,693.1,14
188,27,1,25,1,25,27,27,27,27,6,11,1,1,27,25,27,27,27,27,27,27,27,27,27,27,27,17,27,27,adapter_removal,nfcore/eager:2.3.5,129.52000045776367,2,20144128,744257126.4,3947067,1891275.6,9991.5,44590.7,829,20
189,19,1,25,1,26,26,26,26,26,21,7,1,1,20,20,24,24,26,26,26,26,26,26,24,24,18,20,17,18,adapter_removal,nfcore/eager:2.3.5,125.71999969482422,2,32893337.6,2109924147.2,6061305.5,1891272.2,9742.5,44590.9,954.6,27
190,8,1,25,3,27,1,1,1,1,1,1,1,1,10,12,18,18,18,18,19,20,18,18,18,15,9,9,9,9,adapter_removal,nfcore/eager:2.3.5,130.42000198364258,2,21170585.6,801662156.8,5004558.7,1891278.2,7465.1,44591,838.4,22
191,22,11,1,21,1,2,2,2,2,16,23,1,21,22,17,23,23,23,23,23,23,23,22,23,23,24,25,24,24,adapter_removal,nfcore/eager:2.3.5,127.6,2,11853004.8,76383846.4,5003037.8,1891274.5,9834,44590.8,516.8,6
192,12,18,1,6,1,2,2,2,2,26,19,1,1,12,9,7,9,8,9,10,10,9,8,8,7,14,11,14,14,adapter_removal,nfcore/eager:2.3.5,140.8500015258789,2,13388185.6,93548953.6,8174297.5,1891282.1,8021.1,44590.9,516.6,5
193,2,18,1,6,1,2,2,2,2,3,5,1,17,2,2,6,5,6,6,5,6,6,7,6,6,5,2,5,5,adapter_removal,nfcore/eager:2.3.5,129.42000045776368,2,13119897.6,93235200,5003427.2,1891276.7,7984.8,44590.3,551.7,8
