id,nodeConfig,benchmarkedComponent,benchmarkType,result,benchmarkName,units,score
784,165,memory,Type: Random Read - Block Size: 4KB,11.7,fio,MB/s,11.7
785,165,memory,Type: Random Read - Block Size: 4KB,2998,fio,IOPS,2998
786,165,memory,Type: Random Write - Block Size: 4KB,11.7,fio,MB/s,11.7
787,165,memory,Type: Random Write - Block Size: 4KB,2997,fio,IOPS,2997
788,165,memory,Type: Sequential Read - Block Size: 2MB,131,fio,MB/s,131
789,165,memory,Type: Sequential Read - Block Size: 2MB,62,fio,IOPS,62
790,165,memory,Type: Sequential Write - Block Size: 2MB,131,fio,MB/s,131
791,165,memory,Type: Sequential Write - Block Size: 2MB,62,fio,IOPS,62
792,165,ram,Type: Add - Benchmark: Integer,13441.88,ramspeed,MB/s,13441.88
793,165,ram,Type: Copy - Benchmark: Integer,13001.17,ramspeed,MB/s,13001.17
794,165,ram,Type: Scale - Benchmark: Integer,12947.36,ramspeed,MB/s,12947.36
795,165,ram,Type: Triad - Benchmark: Integer,13234.21,ramspeed,MB/s,13234.21
796,165,ram,Type: Average - Benchmark: Integer,13227.92,ramspeed,MB/s,13227.92
797,165,ram,Type: Add - Benchmark: Floating Point,13300.31,ramspeed,MB/s,13300.31
798,165,ram,Type: Copy - Benchmark: Floating Point,13481.26,ramspeed,MB/s,13481.26
799,165,ram,Type: Scale - Benchmark: Floating Point,12988.48,ramspeed,MB/s,12988.48
800,165,ram,Type: Triad - Benchmark: Floating Point,13441.36,ramspeed,MB/s,13441.36
801,165,ram,Type: Average - Benchmark: Floating Point,13410.79,ramspeed,MB/s,13410.79
802,165,internet,Test: TCP - Parallel: 1,497,iperf,Mbits/sec,497
803,165,internet,Test: UDP - Parallel: 1,1.05,iperf,Mbits/sec,1.05
804,165,internet,Test: TCP - Parallel: 32,135,iperf,Mbits/sec,135
805,165,internet,Test: UDP - Parallel: 32,33.7,iperf,Mbits/sec,33.7
806,165,cpu,Test: Blowfish,1450,john-the-ripper,Real C/S,1450
807,165,cpu,Test: MD5,147114,john-the-ripper,Real C/S,147114
808,165,cpu,Time To Compile,912.715,build-linux-kernel,Seconds,302.702
809,165,ram,Type: Copy,11879.8,stream,MB/s,11879.8
810,165,ram,Type: Scale,12849.3,stream,MB/s,12849.3
811,165,ram,Type: Triad,13658.6,stream,MB/s,13658.6
812,165,ram,Type: Add,13577.4,stream,MB/s,13577.4
813,166,memory,Type: Random Read - Block Size: 4KB,11.7,fio,MB/s,11.7
814,166,memory,Type: Random Read - Block Size: 4KB,2996,fio,IOPS,2996
815,166,memory,Type: Random Write - Block Size: 4KB,11.7,fio,MB/s,11.7
816,166,memory,Type: Random Write - Block Size: 4KB,2997,fio,IOPS,2997
817,166,memory,Type: Sequential Read - Block Size: 2MB,131,fio,MB/s,131
818,166,memory,Type: Sequential Read - Block Size: 2MB,62,fio,IOPS,62
819,166,memory,Type: Sequential Write - Block Size: 2MB,131,fio,MB/s,131
820,166,memory,Type: Sequential Write - Block Size: 2MB,62,fio,IOPS,62
821,166,ram,Type: Add - Benchmark: Integer,26518.16,ramspeed,MB/s,26518.16
822,166,ram,Type: Copy - Benchmark: Integer,24909.38,ramspeed,MB/s,24909.38
823,166,ram,Type: Scale - Benchmark: Integer,20600.3,ramspeed,MB/s,20600.3
824,166,ram,Type: Triad - Benchmark: Integer,25522.25,ramspeed,MB/s,25522.25
825,166,ram,Type: Average - Benchmark: Integer,24458.92,ramspeed,MB/s,24458.92
826,166,ram,Type: Add - Benchmark: Floating Point,22175.07,ramspeed,MB/s,22175.07
827,166,ram,Type: Copy - Benchmark: Floating Point,24999.66,ramspeed,MB/s,24999.66
828,166,ram,Type: Scale - Benchmark: Floating Point,18783,ramspeed,MB/s,18783
829,166,ram,Type: Triad - Benchmark: Floating Point,25677.35,ramspeed,MB/s,25677.35
830,166,ram,Type: Average - Benchmark: Floating Point,22667.18,ramspeed,MB/s,22667.18
831,166,internet,Test: TCP - Parallel: 1,464.2,iperf,Mbits/sec,464.2
832,166,internet,Test: UDP - Parallel: 1,1.05,iperf,Mbits/sec,1.05
833,166,internet,Test: TCP - Parallel: 32,56.5,iperf,Mbits/sec,56.5
834,166,internet,Test: UDP - Parallel: 32,24.4,iperf,Mbits/sec,24.4
835,166,cpu,Test: Blowfish,2877,john-the-ripper,Real C/S,2877
836,166,cpu,Test: MD5,287411,john-the-ripper,Real C/S,287411
837,166,cpu,Time To Compile,462.423,build-linux-kernel,Seconds,752.994
838,166,ram,Type: Copy,22287,stream,MB/s,22287
839,166,ram,Type: Scale,27189.4,stream,MB/s,27189.4
840,166,ram,Type: Triad,27874,stream,MB/s,27874
841,166,ram,Type: Add,28028.8,stream,MB/s,28028.8
842,167,memory,Type: Random Read - Block Size: 4KB,11.7,fio,MB/s,11.7
843,167,memory,Type: Random Read - Block Size: 4KB,2997,fio,IOPS,2997
844,167,memory,Type: Random Write - Block Size: 4KB,11.7,fio,MB/s,11.7
845,167,memory,Type: Random Write - Block Size: 4KB,2996,fio,IOPS,2996
846,167,memory,Type: Sequential Read - Block Size: 2MB,131,fio,MB/s,131
847,167,memory,Type: Sequential Read - Block Size: 2MB,62,fio,IOPS,62
848,167,memory,Type: Sequential Write - Block Size: 2MB,131,fio,MB/s,131
849,167,memory,Type: Sequential Write - Block Size: 2MB,62,fio,IOPS,62
850,167,ram,Type: Add - Benchmark: Integer,27098.23,ramspeed,MB/s,27098.23
851,167,ram,Type: Copy - Benchmark: Integer,26004.74,ramspeed,MB/s,26004.74
852,167,ram,Type: Scale - Benchmark: Integer,20702.38,ramspeed,MB/s,20702.38
853,167,ram,Type: Triad - Benchmark: Integer,26279.63,ramspeed,MB/s,26279.63
854,167,ram,Type: Average - Benchmark: Integer,25235.34,ramspeed,MB/s,25235.34
855,167,ram,Type: Add - Benchmark: Floating Point,22581.15,ramspeed,MB/s,22581.15
856,167,ram,Type: Copy - Benchmark: Floating Point,25792.94,ramspeed,MB/s,25792.94
